symbol,reaction_date,entry_date,exit_date,entry_price,exit_price,shares,gross_ret,net_ret,invested_cash,ret_pct
TEL,2017-01-25,2017-01-26,2017-03-10,75.29,74.61,0.0011068313631735066,-0.009031743923495927,-0.009031743923496038,0.08333333333333333,-0.9031743923496038
AAPL,2017-01-31,2017-02-01,2017-03-16,31.76,35.17,0.0026211156027461605,0.10736775818639788,0.10736775818639788,0.08324663154321807,10.736775818639789
SNPS,2017-02-15,2017-02-16,2017-03-31,71.73,72.13,0.0011685925765290463,0.005576467307960353,0.005576467307960131,0.0838231455144285,0.5576467307960131
LRCX,2017-04-19,2017-04-20,2017-06-02,13.7,15.87,0.006135357639349258,0.15839416058394162,0.15839416058394162,0.08405439965908483,15.839416058394162
HON,2017-04-21,2017-04-24,2017-06-06,122.89,127.09,0.0006852289331928438,0.03417690617625513,0.03417690617625535,0.08420778360006857,3.417690617625535
ITW,2017-04-24,2017-04-25,2017-06-07,112.83807420064424,117.4357452392578,0.0007481021408439063,0.04074574181794488,0.04074574181794488,0.0844144048782055,4.074574181794488
TMUS,2017-04-24,2017-04-25,2017-06-07,66.0,65.92,0.0012790061345182653,-0.00121212121212122,-0.00121212121212122,0.0844144048782055,-0.12121212121212199
ALGN,2017-04-27,2017-04-28,2017-06-12,139.79,143.41,0.0006070598907584404,0.02589598683739891,0.02589598683739891,0.08486090212912238,2.589598683739891
TRMB,2017-04-27,2017-04-28,2017-06-12,34.04,36.31,0.0024929759732409632,0.0666862514688602,0.06668625146886042,0.08486090212912238,6.6686251468860425
AME,2017-05-02,2017-05-03,2017-06-15,55.57795387128703,58.78652572631836,0.00152905697145355,0.057731017994330225,0.057731017994330225,0.08498185782601525,5.7731017994330225
HLT,2017-05-02,2017-05-03,2017-06-15,61.45,66.85,0.0013829431704803132,0.08787632221318131,0.08787632221318131,0.08498185782601525,8.78763222131813
MTD,2017-05-04,2017-05-05,2017-06-19,549.9,594.78,0.00015517789929286345,0.08161483906164757,0.08161483906164757,0.08533232682114561,8.161483906164758
CI,2017-05-05,2017-05-08,2017-06-20,160.66,169.58,0.0005312078609385416,0.05552097597410688,0.05552097597410688,0.08534385493838609,5.552097597410688
MAR,2017-05-09,2017-05-10,2017-06-22,102.34,103.89,0.000835163684092401,0.015145593120969192,0.015145593120969192,0.08547065143001632,1.5145593120969192
MCHP,2017-05-09,2017-05-10,2017-06-22,39.95,40.03,0.0018956057520307977,0.0020025031289110373,0.0020025031289112594,0.07572944979363037,0.20025031289112594
BA,2017-07-26,2017-07-27,2017-09-08,237.13,238.78,0.0003730587988023517,0.006958208577573455,0.006958208577573455,0.08846343296000166,0.6958208577573455
APD,2017-08-01,2017-08-02,2017-09-14,148.34,150.07,0.0005968400079464144,0.011662397195631558,0.01166239719563178,0.08853524677877112,1.166239719563178
HUM,2017-08-02,2017-08-03,2017-09-15,241.83,249.28,0.000365866459404406,0.03080676508290936,0.030806765082909582,0.0884774858777675,3.080676508290958
TDY,2017-08-03,2017-08-04,2017-09-18,148.62,158.25,0.0005964295027832837,0.06479612434396453,0.06479612434396453,0.08864135270365163,6.479612434396453
TSN,2017-08-07,2017-08-08,2017-09-20,66.61,65.78,0.0013312045037627684,-0.01246059150277734,-0.01246059150277734,0.088671531995638,-1.246059150277734
GDDY,2017-08-12,2017-08-15,2017-09-27,42.28,42.93,0.002092699703906001,0.015373699148533593,0.01537369914853337,0.08847934348114574,1.537369914853337
AMAT,2017-08-17,2017-08-18,2017-10-02,44.77,52.08,0.001962142789106208,0.16327898146079955,0.16327898146079955,0.08784513266828493,16.327898146079956
