,nav
2017-01-26,0.9993801744366227
2017-01-27,0.9991256032230929
2017-01-30,0.9988599636959312
2017-01-31,0.9989595785186168
2017-02-01,0.9992584229866737
2017-02-02,0.9991366715367246
2017-02-03,1.0000996148226855
2017-02-06,1.0002435028998982
2017-02-07,1.0004648691725329
2017-02-08,0.9995461991410988
2017-02-09,1.0000221366272635
2017-02-10,0.9998007703546287
2017-02-13,1.000166024704476
2017-02-14,1.0001438880772124
2017-02-15,1.0003209810953202
2017-02-16,0.9999335901182096
2017-02-17,0.999911453490946
2017-02-21,1.0004870057997963
2017-02-22,0.9999778633727365
2017-02-23,0.9988046221277725
2017-02-24,0.9989042369504582
2017-02-27,0.9994465843184132
2017-02-28,0.9990923982821976
2017-03-01,1.0009297383450657
2017-03-02,1.0002656395271616
2017-03-03,1.0002545712135298
2017-03-06,0.9987492805596139
2017-03-07,0.9989706468322486
2017-03-08,0.9991809447912515
2017-03-09,0.9988931686368264
2017-03-10,0.9992473546730419
2017-03-13,0.9992473546730419
2017-03-14,0.9992473546730419
2017-03-15,0.9992473546730419
2017-03-16,0.9992473546730419
2017-03-17,0.9992473546730419
2017-03-20,0.9992473546730419
2017-03-21,0.9992473546730419
2017-03-22,0.9992473546730419
2017-03-23,0.9992473546730419
2017-03-24,0.9992473546730419
2017-03-27,0.9992473546730419
2017-03-28,0.9992473546730419
2017-03-29,0.9992473546730419
2017-03-30,0.9992473546730419
2017-03-31,0.9992473546730419
2017-04-03,0.9992473546730419
2017-04-04,0.9992473546730419
2017-04-05,0.9992473546730419
2017-04-06,0.9992473546730419
2017-04-07,0.9992473546730419
2017-04-10,0.9992473546730419
2017-04-11,0.9992473546730419
2017-04-12,0.9992473546730419
2017-04-13,0.9992473546730419
2017-04-17,0.9992473546730419
2017-04-18,0.9992473546730419
2017-04-19,0.9992473546730419
2017-04-20,1.0007061099353383
2017-04-21,1.0010707987509124
2017-04-24,1.003527133772457
2017-04-25,1.0069244253824319
2017-04-26,1.007556215601186
2017-04-27,1.008528114132899
2017-04-28,1.0043624953814911
2017-05-01,1.0075725852071324
2017-05-02,1.006352077601366
2017-05-03,1.0028354684990815
2017-05-04,1.0086740446884068
2017-05-05,1.0083644204492126
2017-05-08,1.0058694516371007
2017-05-09,1.0093611477189546
2017-05-10,1.00811191006484
2017-05-11,1.0087918341065285
2017-05-12,1.0085926528792712
2017-05-15,1.010705787833277
2017-05-16,1.0116191649390998
2017-05-17,1.001456263645925
2017-05-18,1.0081052312750576
2017-05-19,1.013516429877778
2017-05-22,1.0168946884990113
2017-05-23,1.0181118973229752
2017-05-24,1.018585052169023
2017-05-25,1.0213699437988388
2017-05-26,1.0224109105999821
2017-05-30,1.0234014697966605
2017-05-31,1.025226407263283
2017-06-01,1.0275215400939786
2017-06-02,1.033161288995434
2017-06-05,1.0305463344263224
2017-06-06,1.0266181636793192
2017-06-07,1.0272162835772018
2017-06-08,1.027291409926706
2017-06-09,1.0251373207139949
2017-06-12,1.0233679079680735
2017-06-13,1.024186746110955
2017-06-14,1.0239138000633279
2017-06-15,1.0247326382062094
2017-06-16,1.0247326382062094
2017-06-19,1.0247326382062094
2017-06-20,1.0247326382062094
2017-06-21,1.0247326382062094
2017-06-22,1.0247326382062094
2017-06-23,1.0247326382062094
2017-06-26,1.0247326382062094
2017-06-27,1.0247326382062094
2017-06-28,1.0247326382062094
2017-06-29,1.0247326382062094
2017-06-30,1.0243377610142788
2017-07-03,1.0234602561433217
2017-07-05,1.0244211239770196
2017-07-06,1.0243509235873431
2017-07-07,1.0242456230028283
2017-07-10,1.024377248733472
2017-07-11,1.0244079614039554
2017-07-12,1.0258163567218415
2017-07-13,1.0254434171516846
2017-07-14,1.0263516346931252
2017-07-17,1.025596980504102
2017-07-18,1.0258514569166797
2017-07-19,1.0263428596444155
2017-07-20,1.0262638842060294
2017-07-21,1.026439385180221
2017-07-24,1.025333729042815
2017-07-25,1.02431143586815
2017-07-26,1.0241841976618613
2017-07-27,1.0260509546220644
2017-07-28,1.0262051718105292
2017-07-31,1.026089427873886
2017-08-01,1.0256167120132051
2017-08-02,1.0244038552781385
2017-08-03,1.0260945433506885
2017-08-04,1.0252039078534618
2017-08-07,1.0272910044392873
2017-08-08,1.0240440458312272
2017-08-09,1.0241126978474189
2017-08-10,1.0204594694880311
2017-08-11,1.0215186011242574
2017-08-14,1.0260390986756387
2017-08-15,1.0256946284423134
2017-08-16,1.0258247119463741
2017-08-17,1.020896272735426
2017-08-18,1.0212218486184825
2017-08-21,1.0212920431024188
2017-08-22,1.025218750312395
2017-08-23,1.0229218295686011
2017-08-24,1.022868419793724
2017-08-25,1.0217874478054738
2017-08-28,1.0220020870258288
2017-08-29,1.0239592439388185
2017-08-30,1.0245901281207879
2017-08-31,1.0272036467539063
2017-09-01,1.0298677389415833
2017-09-05,1.0265392829625724
2017-09-06,1.0259192390986178
2017-09-07,1.0261736337399847
2017-09-08,1.0295264305558498
2017-09-11,1.0338245555697572
2017-09-12,1.0341066845007878
2017-09-13,1.0329076855245067
2017-09-14,1.033685369323722
