,nav
2017-01-10,0.9975288645236314
2017-01-11,0.997892266799568
2017-01-12,0.9972381427028822
2017-01-13,0.9973835036132569
2017-01-17,0.9976949912783454
2017-01-18,0.998297200764183
2017-01-19,0.9990966857712434
2017-01-20,0.9987748151839854
2017-01-23,0.9980583935542818
2017-01-24,0.9987229005731373
2017-01-25,0.9991827572064466
2017-01-26,0.9969729145883748
2017-01-27,0.9962791104480757
2017-01-30,0.9957785682351639
2017-01-31,0.9931737619107022
2017-02-01,0.9926142670423547
2017-02-02,0.9926884898769688
2017-02-03,0.9956295611331396
2017-02-06,0.9942602264564033
2017-02-07,0.994832844846384
2017-02-08,0.9955645950685024
2017-02-09,0.9961921999985688
2017-02-10,0.99770006005821
2017-02-13,0.9967284204210007
2017-02-14,0.9968995187952469
2017-02-15,0.9985670554820342
2017-02-16,0.9959520406316793
2017-02-17,0.9963821972808639
2017-02-21,0.9989956902111169
2017-02-22,0.998600475652325
2017-02-23,0.9968655789224359
2017-02-24,0.9980690603277398
2017-02-27,1.0003342003563462
2017-02-28,0.9998995270937665
2017-03-01,1.0033508992507052
2017-03-02,1.0024450131157248
2017-03-03,1.0025416560907257
2017-03-06,1.000660637773783
2017-03-07,1.0020665478108906
2017-03-08,1.0034883241406494
2017-03-09,1.0025276441496307
2017-03-10,1.0028815407298606
2017-03-13,1.0028815407298606
2017-03-14,1.0028815407298606
2017-03-15,1.0028815407298606
2017-03-16,1.0028815407298606
2017-03-17,1.0028815407298606
2017-03-20,1.0028815407298606
2017-03-21,1.0028815407298606
2017-03-22,1.0028815407298606
2017-03-23,1.0028815407298606
2017-03-24,1.0028815407298606
2017-03-27,1.0028815407298606
2017-03-28,1.0028815407298606
2017-03-29,1.0028815407298606
2017-03-30,1.0028815407298606
2017-03-31,1.0028815407298606
2017-04-03,1.0028815407298606
2017-04-04,1.0028815407298606
2017-04-05,1.0028815407298606
2017-04-06,1.0028815407298606
2017-04-07,1.0028815407298606
2017-04-10,1.0028815407298606
2017-04-11,1.0028815407298606
2017-04-12,1.0028815407298606
2017-04-13,1.0028815407298606
2017-04-17,1.0028815407298606
2017-04-18,1.0028815407298606
2017-04-19,1.0028815407298606
2017-04-20,1.004345601373262
2017-04-21,1.0047116165341121
2017-04-24,1.0071768850579015
2017-04-25,1.0105865323571281
2017-04-26,1.0112206203484937
2017-04-27,1.0121960536006902
2017-04-28,1.008015284813094
2017-05-01,1.0112370494894427
2017-05-02,1.0100121029910412
2017-05-03,1.006482704250929
2017-05-04,1.012342514894446
2017-05-05,1.0120317645756203
2017-05-08,1.0095277217531278
2017-05-09,1.0130321168660634
2017-05-10,1.0116899884257295
2017-05-11,1.012515100337255
2017-05-12,1.0122744189779374
2017-05-15,1.0154282242802393
2017-05-16,1.0164944342610034
2017-05-17,1.0062945712746065
2017-05-18,1.0134502334376958
2017-05-19,1.019282073452874
2017-05-22,1.023413377549636
2017-05-23,1.0247641363986175
2017-05-24,1.0256671571871816
2017-05-25,1.0292301200790472
2017-05-26,1.0300641982164775
2017-05-30,1.0315340767950467
2017-05-31,1.0335015705033903
2017-06-01,1.0363011552129144
2017-06-02,1.0417983125481518
2017-06-05,1.0389020094216566
2017-06-06,1.0345925706918626
2017-06-07,1.0358384815549782
2017-06-08,1.0361177597592583
2017-06-09,1.034587860029746
2017-06-12,1.0330770542790568
2017-06-13,1.0345988537561146
2017-06-14,1.0349705306736263
2017-06-15,1.0362272879368848
2017-06-16,1.0367777602270833
2017-06-19,1.0370088226698828
2017-06-20,1.036567085646884
2017-06-21,1.0359894295398855
2017-06-22,1.0352758543488876
2017-06-23,1.0352758543488876
2017-06-26,1.0352758543488876
2017-06-27,1.0352758543488876
2017-06-28,1.0352758543488876
2017-06-29,1.0352758543488876
2017-06-30,1.0348769143649377
2017-07-03,1.0339903810672713
2017-07-05,1.034961135028216
2017-07-06,1.0348902123644026
2017-07-07,1.0347838283686828
2017-07-10,1.0349168083633327
2017-07-11,1.034947837028751
2017-07-12,1.0363707229715056
2017-07-13,1.0359939463199974
2017-07-14,1.036911508283082
2017-07-17,1.0361490896470889
2017-07-18,1.0364061843034122
2017-07-19,1.0369026429501054
2017-07-20,1.0368228549533154
2017-07-21,1.0370001616128488
2017-07-24,1.035883129657789
2017-07-25,1.0348503183660076
2017-07-26,1.0342334380562876
2017-07-27,1.0314772688038152
2017-07-28,1.0323705680578306
2017-07-31,1.0307558882838106
2017-08-01,1.0322347858936154
2017-08-02,1.0298502615972092
2017-08-03,1.0296274671035457
2017-08-04,1.0295477147054657
2017-08-07,1.0325780106112648
2017-08-08,1.0290717129223725
2017-08-09,1.0284197930596566
2017-08-10,1.0221856706554124
2017-08-11,1.0242738082719822
2017-08-14,1.0315160851813587
2017-08-15,1.032896229195447
2017-08-16,1.032659414345449
2017-08-17,1.0235941869407656
2017-08-18,1.0222123100243832
2017-08-21,1.0222445867819523
2017-08-22,1.0279995394641293
2017-08-23,1.0243275855978675
2017-08-24,1.0231316752324255
2017-08-25,1.0219025980837422
2017-08-28,1.0205940516994425
2017-08-29,1.021095402292508
2017-08-30,1.0241891632405502
2017-08-31,1.0283670665958682
2017-09-01,1.030458494023848
2017-09-05,1.0256534808619957
2017-09-06,1.0269172629359473
2017-09-07,1.0267569534124326
2017-09-08,1.0283116335586922
2017-09-11,1.0308950333398401
2017-09-12,1.0313664040313784
2017-09-13,1.0314879502145937
2017-09-14,1.0324704203973494
2017-09-15,1.0331809217057568
2017-09-18,1.0338785048085568
2017-09-19,1.032328320135668
2017-09-20,1.0317728372945496
2017-09-21,1.0317728372945496
2017-09-22,1.0317728372945496
2017-09-25,1.0317728372945496
2017-09-26,1.0317728372945496
2017-09-27,1.0317728372945496
2017-09-28,1.0317728372945496
2017-09-29,1.0317728372945496
2017-10-02,1.0317728372945496
2017-10-03,1.0317728372945496
2017-10-04,1.0317728372945496
2017-10-05,1.0317728372945496
2017-10-06,1.0321138363767022
2017-10-09,1.0313250192228072
2017-10-10,1.0312305255012468
2017-10-11,1.031140140202363
2017-10-12,1.0310004538313609
2017-10-13,1.031477030861839
2017-10-16,1.0322535227477043
2017-10-17,1.0335641095815193
2017-10-18,1.0341399505756153
2017-10-19,1.0336555267373093
2017-10-20,1.0332853013982772
2017-10-23,1.035513292867103
2017-10-24,1.0376385786677353
2017-10-25,1.0374791673951902
2017-10-26,1.0387867007573068
