symbol,reaction_date,entry_date,exit_date,entry_price,exit_price,shares,gross_ret,net_ret,invested_cash,ret_pct
GPN,2017-01-09,2017-01-10,2017-02-23,80.26,78.21,0.0010382922169615415,-0.02554198853725409,-0.0255419885372542,0.08333333333333333,-2.55419885372542
DHI,2017-01-24,2017-01-25,2017-03-09,30.91,33.05,0.0026925560783272327,0.06923325784535739,0.06923325784535717,0.08322690838109477,6.923325784535717
TEL,2017-01-25,2017-01-26,2017-03-10,75.29,74.61,0.0011059268132182743,-0.009031743923495927,-0.009031743923495927,0.08326522976720388,-0.9031743923495927
LRCX,2017-04-19,2017-04-20,2017-06-02,13.7,15.87,0.006100252680838568,0.15839416058394162,0.15839416058394185,0.08357346172748838,15.839416058394185
HON,2017-04-21,2017-04-24,2017-06-06,122.89,127.09,0.0006813082272317466,0.03417690617625513,0.03417690617625535,0.08372596804450934,3.417690617625535
TMUS,2017-04-24,2017-04-25,2017-06-07,66.0,65.92,0.001271687986184219,-0.00121212121212122,-0.00121212121212122,0.08393140708815845,-0.12121212121212199
ALGN,2017-04-27,2017-04-28,2017-06-12,139.79,143.41,0.00060340275508542,0.02589598683739891,0.025895986837399132,0.08434967113339085,2.589598683739913
HLT,2017-05-02,2017-05-03,2017-06-15,61.45,66.85,0.0013696936574329281,0.08787632221318131,0.08787632221318131,0.08416767524925343,8.78763222131813
AON,2017-05-09,2017-05-10,2017-06-22,124.22,134.25,0.0006795954199981642,0.08074384157140568,0.08074384157140568,0.08441934307217196,8.074384157140567
STZ,2017-06-29,2017-06-30,2017-08-14,194.63,197.19,0.00044326664883320813,0.01315316241072817,0.01315316241072817,0.0862729878624073,1.315316241072817
TXN,2017-07-25,2017-07-26,2017-09-07,83.0,82.0,0.0010390063437409715,-0.012048192771084376,-0.012048192771084376,0.08623752653050064,-1.2048192771084376
BA,2017-07-26,2017-07-27,2017-09-08,237.13,238.78,0.000363455150499827,0.006958208577573455,0.006958208577573677,0.08618611983802398,0.6958208577573677
LH,2017-07-26,2017-07-27,2017-09-08,138.74,135.35,0.0006212059956611213,-0.024434193455384223,-0.024434193455384334,0.08618611983802398,-2.4434193455384334
META,2017-07-26,2017-07-27,2017-09-08,174.7,170.95,0.0004933378353636175,-0.02146536920435027,-0.02146536920435027,0.08618611983802398,-2.146536920435027
NDAQ,2017-07-26,2017-07-27,2017-09-08,24.83,24.78,0.0034710479193726935,-0.002013693113169457,-0.002013693113169457,0.08618611983802398,-0.2013693113169457
APD,2017-08-01,2017-08-02,2017-09-14,148.34,150.07,0.0005798811210134462,0.011662397195631558,0.011662397195631558,0.08601956549113461,1.1662397195631558
TSN,2017-08-07,2017-08-08,2017-09-20,66.61,65.78,0.0012918205607407105,-0.01246059150277734,-0.01246059150277734,0.08604816755093873,-1.246059150277734
