date,open,high,low,close,volume
2016-01-04,147.2712844401807,147.91162416380098,145.49614839450288,146.77684020996094,278300
2016-01-05,146.77682995025,147.14158102647264,145.30159854515924,146.20132446289062,386900
2016-01-06,144.8801533106368,146.33915800677667,144.66939884298378,144.9774169921875,300600
2016-01-07,143.21036544294608,145.43941525783262,143.21036544294608,143.4535369873047,296600
2016-01-08,143.78585301444429,144.158717651534,141.79186144224917,141.9215545654297,307200
2016-01-11,142.30252527624572,143.04824220784198,141.0137322869071,142.37547302246094,386400
2016-01-12,143.9236255891981,143.9236255891981,140.89212659392572,142.38356018066406,330200
2016-01-13,142.68344861759243,143.50211305160667,140.04101686200883,140.0491180419922,254900
2016-01-14,140.1707500861933,142.28632146636625,139.8303148761701,141.48387145996094,243200
2016-01-15,138.94677442921613,141.03802945357575,138.8089801374991,140.39768981933594,481200
2016-01-19,141.5892314740197,142.45654038780526,138.00654215584964,138.8009033203125,515600
2016-01-20,138.9873030464089,139.7978664222586,135.42082913995634,137.56881713867188,297300
2016-01-21,137.83637410943516,138.59019249271975,135.78564872289436,137.26898193359375,385700
2016-01-22,138.93058184534806,140.21938723702718,137.99033756561676,139.77357482910156,283100
2016-01-25,139.5790500286462,140.43014428584058,137.4634785290918,138.08761596679688,379600
2016-01-26,138.3307486734692,140.96507964464914,137.77955914648868,140.23556518554688,269000
2016-01-27,139.9032919462646,141.4514591290829,139.35210222881517,139.64390563964844,209700
2016-01-28,139.85458105190267,141.78372559078784,139.5060447828242,141.41087341308594,206900
2016-01-29,141.79993753794662,145.11513827619726,141.79993753794662,145.0421905517578,412800
2016-02-01,144.7747331575606,147.2712699790822,144.4910310128496,146.40396118164062,414900
2016-02-02,144.93688696903664,145.31785288106866,142.95910964739448,143.23471069335938,444000
2016-02-03,144.11008764346832,144.68559320411134,142.2863196619039,144.03713989257812,355900
2016-02-04,145.91764509418655,148.63302540497554,145.91764509418655,147.97647094726562,461300
2016-02-05,147.5712037146708,148.53577635586947,144.9936174614476,145.9095458984375,356500
2016-02-08,144.55587057793034,152.73445213396246,144.18301834841,151.8590545654297,589200
2016-02-09,149.91374494715708,153.56939493293297,149.21665971178547,152.31301879882812,532400
2016-02-10,152.3859578467574,153.12357369619673,149.5895158811921,149.62193298339844,352900
2016-02-11,147.96024670171857,149.0626134883037,147.63602626904748,148.2682647705078,333100
2016-02-12,149.45167666330272,151.22681240523372,148.55195083663423,150.48919677734375,247400
2016-02-16,152.0292391745574,152.0292391745574,149.7029266357422,149.7029266357422,310000
2016-02-17,150.38388027177527,150.82159159015816,149.40310513402085,150.2136688232422,312900
2016-02-18,150.20555384053256,151.5348777834698,149.2085639753847,150.70809936523438,338300
2016-02-19,150.17308166424993,151.8266255261177,149.6948398676948,151.21060180664062,495000
2016-02-22,152.0779231529531,152.5966833092792,150.48922558529972,150.81344604492188,249500
2016-02-23,150.60271418740516,151.59160273494007,150.12448464818277,151.17820739746094,508000
2016-02-24,150.18928848951595,152.1589640032573,149.39493981244212,152.1022186279297,217400
2016-02-25,152.2805201758307,153.93407620104944,151.12952179697388,153.4315185546875,252800
2016-02-26,153.78815141634888,154.0070069419449,150.59453045137553,151.46994018554688,234800
2016-02-29,150.8620799305028,151.88339789182797,150.52164473280038,150.8701934814453,255500
2016-03-01,151.55107403857173,154.83385902197057,150.99988437089218,154.76901245117188,292900
2016-03-02,154.72843031563278,155.57141071909365,154.3231486591543,155.50657653808594,206600
2016-03-03,155.7740792118789,156.26042223331055,154.663611233744,155.61196899414062,234400
