symbol,reaction_date,entry_date,exit_date,entry_price,exit_price,shares,gross_ret,net_ret,invested_cash,exit_reason,regime,is_satellite,ret_pct,trade_id
NTAP,2017-05-24,2017-05-25,2017-07-10,39.96,38.57,70.0,-0.03478478478478475,-0.03671425000000017,2800.0000000000005,scheduled,NORMAL,True,-3.671425000000017,NTAP_2017-05-24
COO,2017-06-01,2017-06-02,2017-07-17,56.91,62.99,330.0,0.1068353540678264,0.10462279019504495,18799.099099099098,scheduled,NORMAL,True,10.462279019504495,COO_2017-06-01
WDAY,2017-06-01,2017-06-02,2017-07-17,99.27,102.89,53.0,0.0364662032839731,0.03439430734360838,5266.576576576576,scheduled,NORMAL,True,3.4394307343608377,WDAY_2017-06-01
DRI,2017-06-27,2017-06-28,2017-08-10,93.16,82.53,201.0,-0.11410476599398878,-0.11587567056676706,18743.903903903905,scheduled,NORMAL,False,-11.587567056676706,DRI_2017-06-27
STZ,2017-06-29,2017-06-30,2017-08-14,194.63,197.19,95.0,0.01315316241072817,0.011127869239069055,18508.358358358357,scheduled,NORMAL,False,1.1127869239069055,STZ_2017-06-29
PODD,2017-11-02,2017-11-03,2017-12-18,64.61,69.03,2.0,0.06841046277665996,0.0662747102615695,129.34934934934935,scheduled,NORMAL,True,6.62747102615695,PODD_2017-11-02
A,2017-11-20,2017-11-21,2018-01-05,70.05,69.9,299.0,-0.0021413276231262435,-0.0041360471092075635,20965.915915915917,scheduled,NORMAL,True,-0.41360471092075635,A_2017-11-20
DG,2017-12-07,2017-12-08,2018-01-24,92.98,102.69,230.0,0.10443106044310602,0.10222330275328018,21406.80680680681,scheduled,NORMAL,False,10.222330275328018,DG_2017-12-07
CCL,2017-12-19,2017-12-20,2018-02-05,68.5,68.04,310.0,-0.00671532846715317,-0.008700904525547393,21256.256256256256,scheduled,NORMAL,False,-0.8700904525547393,CCL_2017-12-19
ACN,2017-12-21,2017-12-22,2018-02-07,155.78,155.15,135.0,-0.004044164847862297,-0.006035080562331485,21051.35135135135,scheduled,NORMAL,False,-0.6035080562331485,ACN_2017-12-21
ADSK,2018-03-06,2018-03-07,2018-04-19,133.01,132.33,152.0,-0.005112397564092763,-0.0071011778813619975,20237.757757757754,scheduled,NORMAL,False,-0.7101177881361997,ADSK_2018-03-06
PSKY,2018-05-03,2018-05-04,2018-06-18,50.0,56.31,14.0,0.1262000000000001,0.12394872620000008,700.7007007007007,scheduled,NORMAL,True,12.394872620000008,PSKY_2018-05-03
CPT,2018-05-04,2018-05-07,2018-06-19,66.76234829674306,69.07539367675781,15.0,0.034645955977069764,0.03257769871107152,1002.4376621132591,scheduled,NORMAL,True,3.2577698711071523,CPT_2018-05-04
IT,2018-05-08,2018-05-09,2018-06-21,130.84,135.82,9.0,0.03806175481504126,0.03598666936716599,1178.7387387387387,scheduled,NORMAL,True,3.598666936716599,IT_2018-05-08
INTU,2018-05-22,2018-05-23,2018-07-06,187.26,208.15,59.0,0.11155612517355551,0.10933412447933377,11059.399399399399,scheduled,NORMAL,True,10.933412447933378,INTU_2018-05-22
UDR,2018-07-31,2018-08-01,2018-09-13,29.24565257977947,31.099842071533203,94.0,0.06340051693822435,0.06127477930486469,2751.843185684955,scheduled,NORMAL,True,6.127477930486469,UDR_2018-07-31
MDT,2018-08-21,2018-08-22,2018-10-04,94.87,96.98,50.0,0.022240961315484364,0.02019750163381473,4748.248248248248,scheduled,NORMAL,True,2.019750163381473,MDT_2018-08-21
ON,2018-10-29,2018-10-30,2018-12-13,15.85,17.47,816.0,0.10220820189274438,0.10000488769716065,12946.546546546548,scheduled,RISK_OFF,False,10.000488769716064,ON_2018-10-29
TMUS,2018-10-30,2018-10-31,2018-12-14,67.37,65.65,390.0,-0.025530651625352507,-0.027478615852753463,26300.600600600603,scheduled,RISK_OFF,False,-2.7478615852753463,TMUS_2018-10-30
CHD,2020-07-31,2020-08-03,2020-09-15,95.19,92.33,138.0,-0.03004517281227015,-0.03198411251181865,13149.36936936937,scheduled,RISK_OFF,False,-3.198411251181865,CHD_2020-07-31
GEN,2020-08-06,2020-08-07,2020-09-21,23.04,20.59,576.0,-0.10633680555555558,-0.10812323828124981,13284.324324324323,scheduled,RISK_OFF,False,-10.812323828124981,GEN_2020-08-06
SNPS,2020-08-19,2020-08-20,2020-10-02,206.5,212.05,63.0,0.02687651331719132,0.024823787167070233,13022.522522522522,scheduled,RISK_OFF,False,2.4823787167070233,SNPS_2020-08-19
SJM,2020-08-25,2020-08-26,2020-10-08,122.15,117.13,109.0,-0.04109701187065096,-0.0430138589439214,13327.677677677679,scheduled,RISK_OFF,False,-4.301385894392141,SJM_2020-08-25
WDAY,2020-08-27,2020-08-28,2020-10-12,240.0,228.19,55.0,-0.0492083333333333,-0.05110896587500002,13213.213213213214,scheduled,RISK_OFF,False,-5.110896587500003,WDAY_2020-08-27
AMAT,2021-02-18,2021-02-19,2021-04-05,121.61,143.05,105.0,0.17630129101225234,0.17394986473151897,12781.83183183183,scheduled,RISK_OFF,False,17.394986473151896,AMAT_2021-02-18
TTD,2021-02-18,2021-02-19,2021-04-05,84.1,65.32,152.0,-0.2233055885850178,-0.22485820071343632,12795.995995995994,scheduled,RISK_OFF,False,-22.485820071343632,TTD_2021-02-18
HSIC,2021-05-04,2021-05-05,2021-06-17,79.56,76.69,1.0,-0.03607340372046264,-0.03800029298642538,79.63963963963964,scheduled,NORMAL,True,-3.8000292986425377,HSIC_2021-05-04
FIS,2021-05-06,2021-05-07,2021-06-21,152.11,145.57,25.0,-0.04299520084149644,-0.04490825343501437,3806.556556556557,scheduled,NORMAL,True,-4.490825343501436,FIS_2021-05-06
CI,2021-05-07,2021-05-10,2021-06-22,262.9,236.01,16.0,-0.10228223659185998,-0.10407677440091279,4210.61061061061,scheduled,NORMAL,True,-10.407677440091279,CI_2021-05-07
ACN,2021-06-24,2021-06-25,2021-08-09,292.33,319.52,108.0,0.0930113228201006,0.09082639318578312,31603.243243243243,scheduled,NORMAL,False,9.082639318578313,ACN_2021-06-24
PANW,2021-08-23,2021-08-24,2021-10-06,70.61,81.02,483.0,0.14742954255771124,0.14513583090213844,34138.768768768765,scheduled,NORMAL,True,14.513583090213844,PANW_2021-08-23
WSM,2021-08-25,2021-08-26,2021-10-08,99.82,85.51,109.0,-0.14335804448006395,-0.14507047174914833,10891.271271271271,scheduled,NORMAL,True,-14.507047174914833,WSM_2021-08-25
DRI,2021-09-23,2021-09-24,2021-11-05,160.04,154.48,210.0,-0.034741314671332235,-0.03667086678330422,33642.04204204204,scheduled,NORMAL,False,-3.6670866783304223,DRI_2021-09-23
GDDY,2021-11-03,2021-11-04,2021-12-17,79.87,71.74,32.0,-0.10179040941529993,-0.1035859303868788,2558.3983983983985,scheduled,NORMAL,True,-10.35859303868788,GDDY_2021-11-03
BLDR,2021-11-04,2021-11-05,2021-12-20,67.96,75.13,503.0,0.10550323719835197,0.10329333622719239,34218.0980980981,scheduled,NORMAL,True,10.32933362271924,BLDR_2021-11-04
NVDA,2021-11-18,2021-11-19,2022-01-04,32.24,29.29,320.0,-0.09150124069478915,-0.09331732971464035,10327.127127127129,scheduled,NORMAL,True,-9.331732971464035,NVDA_2021-11-18
WM,2022-07-27,2022-07-28,2022-09-09,160.09,173.4,112.0,0.08314073333749761,0.08097553501155574,17948.02802802803,scheduled,RISK_OFF,False,8.097553501155573,WM_2022-07-27
AVB,2022-07-28,2022-07-29,2022-09-12,212.93,214.22,172.0,0.006058329028319154,0.00404721842859157,36660.62062062062,scheduled,RISK_OFF,False,0.404721842859157,AVB_2022-07-28
