,nav
2017-01-26,0.9993801744366227
2017-01-27,0.9991256032230929
2017-01-30,0.9988599636959312
2017-01-31,0.9989595785186168
2017-02-01,1.0003855026958546
2017-02-02,1.0001064843097407
2017-02-03,1.0014363837800861
2017-02-06,1.0023666065381225
2017-02-07,1.0034005186476085
2017-02-08,1.0028225936445314
2017-02-09,1.0035344315349433
2017-02-10,1.0031295871701162
2017-02-13,1.0042549650447599
2017-02-14,1.0053861192827047
2017-02-15,1.005877746173142
2017-02-16,1.0041351165150354
2017-02-17,1.0041735914055399
2017-02-21,1.0059274499700177
2017-02-22,1.0060338361806882
2017-02-23,1.0044206838922511
2017-02-24,1.005606761103331
2017-02-27,1.0065400939227565
2017-02-28,1.0052800842858423
2017-03-01,1.0098870793318557
2017-03-02,1.0072351773682442
2017-03-03,1.0077979151827199
2017-03-06,1.0056770958910737
2017-03-07,1.0063889423380727
2017-03-08,1.0065740152643814
2017-03-09,1.006123293564798
2017-03-10,1.0072799830509882
2017-03-13,1.0076362394329408
2017-03-14,1.0059509555260198
2017-03-15,1.006324786085006
2017-03-16,1.007051824079173
2017-03-17,1.0074958892582542
2017-03-20,1.0079399544373353
2017-03-21,1.0068765351926938
2017-03-22,1.0074140877778972
2017-03-23,1.0075893766643764
2017-03-24,1.0075075751840195
2017-03-27,1.0077529796250906
2017-03-28,1.008454135171008
2017-03-29,1.0087930270182015
2017-03-30,1.0087462833151402
2017-03-31,1.008652795909018
2017-04-03,1.008652795909018
2017-04-04,1.008652795909018
2017-04-05,1.008652795909018
2017-04-06,1.008652795909018
2017-04-07,1.008652795909018
2017-04-10,1.008652795909018
2017-04-11,1.008652795909018
2017-04-12,1.008652795909018
2017-04-13,1.008652795909018
2017-04-17,1.008652795909018
2017-04-18,1.008652795909018
2017-04-19,1.008652795909018
2017-04-20,1.0101252817424617
2017-04-21,1.0104934032008228
2017-04-24,1.012972858538466
2017-04-25,1.0166148136443764
2017-04-26,1.0171796193214622
2017-04-27,1.0183308255494685
2017-04-28,1.0167820421891505
2017-05-01,1.0207519700138805
2017-05-02,1.019782293912183
2017-05-03,1.017058626118442
2017-05-04,1.0239879218537473
2017-05-05,1.024126259260633
2017-05-08,1.0213080668965095
2017-05-09,1.025647817160196
2017-05-10,1.0242538620178887
2017-05-11,1.024827195600878
2017-05-12,1.022751438802379
2017-05-15,1.0293096265318542
2017-05-16,1.031458871901844
2017-05-17,1.0086845157372706
2017-05-18,1.0176851785165577
2017-05-19,1.0295377483757857
2017-05-22,1.0374543334229644
2017-05-23,1.0417262933554925
2017-05-24,1.0446720822356148
2017-05-25,1.0495202951358886
2017-05-26,1.0503607298018105
2017-05-30,1.0529180439210286
2017-05-31,1.0574197458439352
2017-06-01,1.0661813858456792
2017-06-02,1.076779493402782
2017-06-05,1.0734588747719818
2017-06-06,1.0659347215080326
2017-06-07,1.0717970940036783
2017-06-08,1.0716129845376159
2017-06-09,1.0624756314213628
2017-06-12,1.056602924634379
2017-06-13,1.0607211620352395
2017-06-14,1.0591034099781833
2017-06-15,1.0608338840478233
2017-06-16,1.061775132375778
2017-06-19,1.066052526143606
2017-06-20,1.062077129430532
2017-06-21,1.0625009210474943
2017-06-22,1.06156119552002
2017-06-23,1.06156119552002
2017-06-26,1.06156119552002
2017-06-27,1.06156119552002
2017-06-28,1.06156119552002
2017-06-29,1.06156119552002
2017-06-30,1.06156119552002
2017-07-03,1.06156119552002
2017-07-05,1.06156119552002
2017-07-06,1.06156119552002
2017-07-07,1.06156119552002
2017-07-10,1.06156119552002
2017-07-11,1.06156119552002
2017-07-12,1.06156119552002
2017-07-13,1.06156119552002
2017-07-14,1.06156119552002
2017-07-17,1.06156119552002
2017-07-18,1.06156119552002
2017-07-19,1.06156119552002
2017-07-20,1.06156119552002
2017-07-21,1.06156119552002
2017-07-24,1.06156119552002
2017-07-25,1.06156119552002
2017-07-26,1.06156119552002
2017-07-27,1.0630049330713849
2017-07-28,1.0631056589470615
2017-07-31,1.0635495989176365
2017-08-01,1.0624229613452534
2017-08-02,1.0617298305332101
2017-08-03,1.0636962324438195
2017-08-04,1.0624183038570927
2017-08-07,1.064058383947656
2017-08-08,1.0608267159917495
2017-08-09,1.0605751076662568
2017-08-10,1.0571070135325888
2017-08-11,1.0577677715420308
2017-08-14,1.061752121773749
2017-08-15,1.060160282417126
2017-08-16,1.0614878041295173
2017-08-17,1.0541415920194193
2017-08-18,1.0548540238716282
2017-08-21,1.0522310486295468
2017-08-22,1.0594167445914944
2017-08-23,1.0571973855972732
2017-08-24,1.0569517021301165
2017-08-25,1.0549014764243676
2017-08-28,1.05625476176803
2017-08-29,1.0591329447800892
2017-08-30,1.0649755839122632
2017-08-31,1.068964229652046
2017-09-01,1.0731015857157926
2017-09-05,1.067292459127918
2017-09-06,1.0644856740630106
2017-09-07,1.065737249039174
2017-09-08,1.0666588589122714
2017-09-11,1.0750423122455173
2017-09-12,1.0742830334843894
2017-09-13,1.0745876877233453
2017-09-14,1.0759282089072748
2017-09-15,1.0772336099007311
2017-09-18,1.0827877518194644
