,exposure
2017-02-01,0.1680317470308242
2017-02-02,0.16777109301932466
2017-02-03,0.33744026121259574
2017-02-06,0.33923857457349654
2017-02-07,0.339667113807606
2017-02-08,0.33966169190705003
2017-02-09,0.34094797127266185
2017-02-10,0.3407024343018826
2017-02-13,0.34131606400305886
2017-02-14,0.34267909984890343
2017-02-15,0.3435440342890068
2017-02-16,0.34365976775283535
2017-02-17,0.5105001728470933
2017-02-21,0.5129494489792529
2017-02-22,0.5130444003598498
2017-02-23,0.5128248226920166
2017-02-24,0.5138789861716927
2017-02-27,0.5139328790895751
2017-02-28,0.5133476252561714
2017-03-01,0.5172439497558667
2017-03-02,0.51557414321578
2017-03-03,0.5162042983640057
2017-03-06,0.5150529053195102
2017-03-07,0.5154350643192168
2017-03-08,0.5151154602151291
2017-03-09,0.5163259806208235
2017-03-10,0.6854753217706901
2017-03-13,0.685650268602669
2017-03-14,0.684685858049904
2017-03-15,0.6870153693906891
2017-03-16,0.5101258011186943
2017-03-17,0.6751493086450048
2017-03-20,0.5032117034148073
2017-03-21,0.499697734089485
2017-03-22,0.5017789638664445
2017-03-23,0.5014784036297534
2017-03-24,0.502184321157512
2017-03-27,0.5023015876429797
2017-03-28,0.5036949841916621
2017-03-29,0.5039179731343105
2017-03-30,0.5040296548097171
2017-03-31,0.5041256961216706
2017-04-03,0.3390098619195367
2017-04-04,0.3392095642883164
2017-04-05,0.33911355388367337
2017-04-06,0.3406616750283087
2017-04-07,0.3405372644278289
2017-04-10,0.3413212183499036
2017-04-11,0.3411668959015029
2017-04-12,0.339533154754152
2017-04-13,0.3388094644287723
2017-04-17,0.3398088388073756
2017-04-18,0.3395309896184663
2017-04-19,0.3385152515572727
2017-04-20,0.33924780767512824
2017-04-21,0.3396421573539674
2017-04-24,0.17155275248036844
2017-04-25,0.3352501760883154
2017-04-26,0.3349101978007691
2017-04-27,0.5022511822179906
2017-04-28,0.8344932002961151
2017-05-01,0.6609436746515549
2017-05-02,0.6620992278016276
2017-05-03,0.8279106812781036
2017-05-04,0.9945420773442327
2017-05-05,1.3229473269154386
2017-05-08,1.325362673823906
2017-05-09,1.3261138899267018
2017-05-10,1.4949742295470043
2017-05-11,1.4970180271473261
2017-05-12,1.498298933312895
2017-05-15,1.4915175786763504
2017-05-16,1.4942593532759372
2017-05-17,1.5031225077113213
2017-05-18,1.5028482705657538
2017-05-19,1.495178160164633
2017-05-22,1.6557542677012063
2017-05-23,1.65369088816013
2017-05-24,1.648902659490044
2017-05-25,1.639395773506873
2017-05-26,1.6417596806096537
2017-05-30,1.6415309169887813
2017-05-31,1.6397879736401515
2017-06-01,1.6311833911459173
2017-06-02,1.7808829065419818
2017-06-05,1.779178655421633
2017-06-06,1.7814826464245868
2017-06-07,1.6115361704774398
2017-06-08,1.6082352384341296
2017-06-09,1.4595416617316697
2017-06-12,1.1397766936273408
2017-06-13,1.1390677389117334
2017-06-14,1.1392933085448886
2017-06-15,0.9739080013952968
2017-06-16,0.8112032155471532
2017-06-19,0.49173314285022635
2017-06-20,0.49076568348026245
2017-06-21,0.49021957949857153
2017-06-22,0.329767501538688
2017-06-23,0.33009942122519353
2017-06-26,0.3301546300674959
2017-06-27,0.3273333138649199
2017-06-28,0.328160406330601
2017-06-29,0.3243125352205376
2017-06-30,0.326864758582309
2017-07-03,0.3265644252865002
2017-07-05,0.16937551131443854
2017-07-06,0.16828660078109126
2017-07-07,0.17213232525380456
2017-07-10,0.1729768978882449
2017-07-11,0.1731877718609245
2017-07-12,0.17517406828646986
2017-07-13,0.17431061933289801
2017-07-14,0.17659365618338085
2017-07-17,0.0
2017-07-18,0.0
2017-07-19,0.33333666729968486
2017-07-20,0.33564048625813003
2017-07-21,0.3394655912203728
2017-07-24,0.3396581326040328
2017-07-25,0.33937613004608763
2017-07-26,0.5064479837788942
2017-07-27,0.5055511444280091
2017-07-28,0.839476159484274
2017-07-31,0.8395380272135657
2017-08-01,1.0056665428586147
2017-08-02,1.171693147748536
2017-08-03,1.1718994831053495
2017-08-04,1.5000543057106275
2017-08-07,1.4987704050744097
2017-08-08,1.5015693493510942
2017-08-09,1.6688397328673037
2017-08-10,1.6835409335335645
2017-08-11,1.8426021878504242
2017-08-14,1.8164931348229667
2017-08-15,1.811269617732574
2017-08-16,1.8020325660698873
2017-08-17,1.8202790099638684
2017-08-18,1.9882851716001837
2017-08-21,1.9948519335855983
2017-08-22,1.9695482213200493
2017-08-23,1.9747809501114502
2017-08-24,1.968237641084125
2017-08-25,1.961233485225552
2017-08-28,1.955751917447094
2017-08-29,1.9519606332448856
2017-08-30,1.6147406440502103
2017-08-31,1.6143410523569313
2017-09-01,1.7777310867047997
2017-09-05,1.781785362570573
2017-09-06,1.7823036976756421
2017-09-07,1.6269496017896339
2017-09-08,1.6252748583340022
2017-09-11,1.3139226433355602
2017-09-12,1.313535100950624
2017-09-13,1.1461883456468784
2017-09-14,0.9833787917332083
2017-09-15,0.9833993475646787
2017-09-18,0.6543128273144346
2017-09-19,0.6536572588353978
2017-09-20,0.6522691136947055
2017-09-21,0.4876226872065427
2017-09-22,0.48922750226147194
2017-09-25,0.3156395242105072
2017-09-26,0.31822890335055687
2017-09-27,0.3264899058170094
2017-09-28,0.3308294065342625
2017-09-29,0.3375924152366031
2017-10-02,0.16290399722658086
2017-10-03,0.1615779554555209
2017-10-04,0.15965755822006178
2017-10-05,0.16057520763832547
2017-10-06,0.15957005838808733
2017-10-09,0.16098967669283312
2017-10-10,0.16394449469887254
2017-10-11,0.1626000307723863
2017-10-12,0.15781622721292082
2017-10-13,0.1548842260991429
2017-10-16,0.0
2017-10-17,0.0
2017-10-18,0.0
2017-10-19,0.0
2017-10-20,0.0
2017-10-23,0.0
2017-10-24,0.16266445497239068
2017-10-25,0.16296066211021873
2017-10-26,0.3242325920711554
2017-10-27,0.4948553198613337
2017-10-30,0.495437286408308
2017-10-31,0.49697658492414226
2017-11-01,0.49953049394977567
2017-11-02,0.8326505500597524
2017-11-03,1.1599207398268927
2017-11-06,1.1575138769292426
2017-11-07,1.1565085626281006
2017-11-08,1.325771166363587
2017-11-09,1.3289240192655083
2017-11-10,1.3318539348313891
2017-11-13,1.3312995264511889
2017-11-14,1.3314379816005586
2017-11-15,1.3333311371265493
2017-11-16,1.3304067522483967
2017-11-17,1.3290887885783296
2017-11-20,1.3268702149198182
2017-11-21,1.324941262833119
2017-11-22,1.4906400367304873
2017-11-24,1.4899125188838511
2017-11-27,1.4917045113374696
2017-11-28,1.4859165875123985
2017-11-29,1.4912533507925896
2017-11-30,1.4884954365375715
2017-12-01,1.491262930376347
2017-12-04,1.493437043953854
2017-12-05,1.4968555297225434
2017-12-06,1.3362234368454409
2017-12-07,1.3335815353093265
2017-12-08,1.1776055045089147
2017-12-11,1.0230906467819925
2017-12-12,1.023063286199647
2017-12-13,1.0231521693511723
2017-12-14,1.0233860623947848
2017-12-15,0.6785842892426747
2017-12-18,0.3618348606412784
2017-12-19,0.35895948784002346
2017-12-20,0.5213997011855471
2017-12-21,0.3284434346213891
2017-12-22,0.32736689781724765
2017-12-26,0.32240661354373074
2017-12-27,0.32336927781675623
2017-12-28,0.32222635150073886
2017-12-29,0.31946841094838246
2018-01-02,0.32728906396321833
2018-01-03,0.3308380635274158
2018-01-04,0.33651197150301076
2018-01-05,0.5019563866945991
2018-01-08,0.3321604137119913
2018-01-09,0.3249446198321509
2018-01-10,0.32543266095767104
2018-01-11,0.3245009120434881
2018-01-12,0.3250319214258192
2018-01-16,0.3257736601477475
2018-01-17,0.3306050791113748
2018-01-18,0.32935404959696546
2018-01-19,0.32835753819197033
2018-01-22,0.3291790918786962
2018-01-23,0.33177314525169466
2018-01-24,0.3288166619290182
2018-01-25,0.3274112659377834
2018-01-26,0.4978425180427804
2018-01-29,0.496377911859175
2018-01-30,0.4923650639373963
2018-01-31,0.4972247129334227
2018-02-01,0.8283285673798134
2018-02-02,1.1638468491393894
2018-02-05,1.0194724515227125
2018-02-06,1.0193443304728729
2018-02-07,1.0192684302957442
2018-02-08,1.0201481585259877
2018-02-09,1.0198282887512375
2018-02-12,1.019569129171837
2018-02-13,1.0194999154861453
2018-02-14,1.0193332393574022
2018-02-15,1.0190100913209712
2018-02-16,1.3508452698659
2018-02-20,1.1875297373800147
2018-02-21,1.3592834264025913
2018-02-22,1.3600909362144598
2018-02-23,1.350030261508399
2018-02-26,1.3465120777422692
2018-02-27,1.3496166544564996
2018-02-28,1.527846863887358
2018-03-01,1.5395906488021138
2018-03-02,1.6780226034346446
2018-03-05,1.6643113202692246
2018-03-06,1.6595726088599894
2018-03-07,1.6580176156260706
2018-03-08,1.648357431436836
2018-03-09,1.6403493972794807
2018-03-12,1.4689564084850748
2018-03-13,1.472800469916948
2018-03-14,1.476551335329297
2018-03-15,1.6486040659086307
2018-03-16,1.2963863934724624
2018-03-19,0.9604492886704519
2018-03-20,0.9604090665887335
2018-03-21,0.9605880224506506
2018-03-22,0.9598836277329844
2018-03-23,0.959351786061464
2018-03-26,0.960338722694882
2018-03-27,0.9599108089810009
2018-03-28,0.9599521403490743
2018-03-29,0.9602643354805233
2018-04-02,0.9585435166279339
2018-04-03,0.6417840008096485
2018-04-04,0.6458713333104634
2018-04-05,0.47902166458368467
2018-04-06,0.4712723696207638
2018-04-09,0.4703359105786259
2018-04-10,0.4766967891890999
2018-04-11,0.4760664341430171
2018-04-12,0.3396768060582402
2018-04-13,0.3380591613291433
2018-04-16,0.1546882384858194
2018-04-17,0.155605423311979
2018-04-18,0.15786289919484012
2018-04-19,0.15700433313044843
2018-04-20,0.156197835995382
2018-04-23,0.15662815974021835
2018-04-24,0.15587480489178443
2018-04-25,0.15662815974021835
2018-04-26,0.15582094232694263
2018-04-27,0.16696788608207544
2018-04-30,0.16636956288872082
2018-05-01,0.165084543103756
2018-05-02,0.49668289217295325
2018-05-03,0.8323446914783207
2018-05-04,0.8344079174630155
2018-05-07,0.8352302748215404
2018-05-08,0.8352349813596383
2018-05-09,0.836014260109946
2018-05-10,0.8375181066771746
2018-05-11,0.8379149657561102
2018-05-14,0.8377872691407943
2018-05-15,0.8379090343055823
2018-05-16,0.8372975990174564
2018-05-17,0.8376853764637178
2018-05-18,0.83783753593937
2018-05-21,0.8387984208960555
2018-05-22,0.8375541372562699
2018-05-23,0.8377457433760804
2018-05-24,1.0039916413014593
2018-05-25,1.0039872065110882
2018-05-29,1.0040165430049457
2018-05-30,1.0039756098961885
2018-05-31,1.0039808809900803
2018-06-01,1.003927490231377
2018-06-04,1.0038844797688735
2018-06-05,1.0038363087335074
2018-06-06,1.0038001868343251
2018-06-07,1.00388053187692
2018-06-08,1.0038376464103729
2018-06-11,0.8502570181802513
2018-06-12,0.8527382101091062
2018-06-13,0.8532323593440255
2018-06-14,0.5401973679243468
2018-06-15,0.18390478429919982
2018-06-18,0.18485016239415028
2018-06-19,0.1842716196511768
2018-06-20,0.18479234505149694
2018-06-21,0.18400135190239597
2018-06-22,0.18247290673972572
2018-06-25,0.1824341376078749
2018-06-26,0.18434880612777982
2018-06-27,0.18126935138630246
2018-06-28,0.18315077184575862
2018-06-29,0.1855048528976901
2018-07-02,0.18675354456527243
2018-07-03,0.18311206698081386
2018-07-05,0.1840592814954289
2018-07-06,0.18596635456579158
2018-07-09,0.0
2018-07-10,0.0
2018-07-11,0.0
2018-07-12,0.0
2018-07-13,0.0
2018-07-16,0.0
2018-07-17,0.0
2018-07-18,0.0
2018-07-19,0.0
2018-07-20,0.0
2018-07-23,0.0
2018-07-24,0.0
2018-07-25,0.0
2018-07-26,0.33149087224928925
2018-07-27,0.4921197866488367
2018-07-30,0.489693229161068
2018-07-31,0.49021028087643054
2018-08-01,0.8239140993755347
2018-08-02,1.1538493717268814
2018-08-03,1.1539647717668484
2018-08-06,1.1535097055783206
2018-08-07,1.1523294235005053
2018-08-08,1.319603390992213
2018-08-09,1.6578109631499531
2018-08-10,1.6587886168185875
2018-08-13,1.6631249606343794
2018-08-14,1.652804741306981
2018-08-15,1.6876637907638703
2018-08-16,1.6862330984613108
2018-08-17,1.6850663513710957
2018-08-20,1.6853881043676446
2018-08-21,1.674700675988475
2018-08-22,1.667339693939997
2018-08-23,1.6661302426673756
2018-08-24,1.6647409718229655
2018-08-27,1.6555453890796383
2018-08-28,1.6591275344262721
2018-08-29,1.6528595828834196
2018-08-30,1.6561655371297124
2018-08-31,1.656138249441726
2018-09-04,1.6600531099068676
2018-09-05,1.6717945563615197
2018-09-06,1.6758750082238427
2018-09-07,1.3518533060428386
2018-09-10,1.1928058082655215
2018-09-11,1.190053158714463
2018-09-12,1.1880922884929137
2018-09-13,0.8740087587080323
2018-09-14,0.49465830094144775
2018-09-17,0.4919988603748173
2018-09-18,0.4943314765124993
2018-09-19,0.4967715507148993
2018-09-20,0.3277963627086692
2018-09-21,0.0
2018-09-24,0.0
2018-09-25,0.0
2018-09-26,0.0
2018-09-27,0.0
2018-09-28,0.0
2018-10-01,0.0
2018-10-02,0.0
2018-10-03,0.0
2018-10-04,0.0
2018-10-05,0.0
2018-10-08,0.0
2018-10-09,0.0
2018-10-10,0.0
2018-10-11,0.0
2018-10-12,0.0
2018-10-15,0.0
2018-10-16,0.0
2018-10-17,0.1619453451774472
2018-10-18,0.15795331192869405
2018-10-19,0.15661416924528795
2018-10-22,0.1573133833613091
2018-10-23,0.15439231604115347
2018-10-24,0.2333903028018956
2018-10-25,0.3213681811562852
2018-10-26,0.3976291310631363
2018-10-29,0.3947034059214197
2018-10-30,0.40000394689837837
2018-10-31,0.4046965309353272
2018-11-01,0.41274683482244284
2018-11-02,0.5805060422365493
2018-11-05,0.5770445902833818
2018-11-06,0.5806882211315345
2018-11-07,0.5876907350173237
2018-11-08,0.7529716326887791
2018-11-09,0.7521949819348488
2018-11-12,0.7470263553455607
2018-11-13,0.746908734170808
2018-11-14,0.7474873172008715
2018-11-15,0.7509194457995731
2018-11-16,0.7512916137977134
2018-11-19,0.744870491211718
2018-11-20,0.7422589140708861
2018-11-21,0.742656111911684
2018-11-23,0.7439281371309392
2018-11-26,0.7477924096653034
2018-11-27,0.7490945826193159
2018-11-28,0.7544959214638337
2018-11-29,0.5933885795318322
2018-11-30,0.5941794427934717
2018-12-03,0.60159270993036
2018-12-04,0.5916656492125083
2018-12-06,0.5913182376025522
2018-12-07,0.7513436417141683
2018-12-10,0.6615398878431341
2018-12-11,0.5766102401550065
2018-12-12,0.5813099372477807
2018-12-13,0.5790461131935304
2018-12-14,0.5746715772974434
2018-12-17,0.5692982096401833
2018-12-18,0.400478426009978
2018-12-19,0.3965247501351955
2018-12-20,0.3910243274992814
2018-12-21,0.38784774382470505
2018-12-24,0.24122502117769165
2018-12-26,0.25327689683956855
2018-12-27,0.2544187760438866
2018-12-28,0.2535393916375194
2018-12-31,0.2551338974510203
2019-01-02,0.2565162850700261
2019-01-03,0.24956222963655236
2019-01-04,0.25508578958593325
2019-01-07,0.2629167955089754
2019-01-08,0.2644161072068377
2019-01-09,0.2684632033158478
2019-01-10,0.26626931990892466
2019-01-11,0.2684711930122625
2019-01-14,0.2700282999619986
2019-01-15,0.2730144449671128
2019-01-16,0.27305765098243795
2019-01-17,0.2758045528918435
2019-01-18,0.2821632100774809
2019-01-22,0.27972133827226575
2019-01-23,0.0
2019-01-24,0.0
2019-01-25,0.0
2019-01-28,0.0
2019-01-29,0.0
2019-01-30,0.0
2019-01-31,0.0
2019-02-01,0.0
2019-02-04,0.0
2019-02-05,0.0
2019-02-06,0.0
2019-02-07,0.0
2019-02-08,0.0
2019-02-11,0.0
2019-02-12,0.0
2019-02-13,0.0
2019-02-14,0.0
2019-02-15,0.0
2019-02-19,0.0
2019-02-20,0.0
2019-02-21,0.0
2019-02-22,0.0
2019-02-25,0.0
2019-02-26,0.0
2019-02-27,0.0
2019-02-28,0.0
2019-03-01,0.0
2019-03-04,0.0
2019-03-05,0.0
2019-03-06,0.0
2019-03-07,0.0
2019-03-08,0.0
2019-03-11,0.0
2019-03-12,0.0
2019-03-13,0.0
2019-03-14,0.0
2019-03-15,0.0
2019-03-18,0.0
2019-03-19,0.0
2019-03-20,0.0
2019-03-21,0.0
2019-03-22,0.0
2019-03-25,0.0
2019-03-26,0.0
2019-03-27,0.0
2019-03-28,0.0
2019-03-29,0.0
2019-04-01,0.0
2019-04-02,0.0
2019-04-03,0.0
2019-04-04,0.0
2019-04-05,0.0
2019-04-08,0.0
2019-04-09,0.0
2019-04-10,0.0
2019-04-11,0.0
2019-04-12,0.0
2019-04-15,0.0
2019-04-16,0.0
2019-04-17,0.0
2019-04-18,0.0
2019-04-22,0.0
2019-04-23,0.0
2019-04-24,0.0
2019-04-25,0.0
2019-04-26,0.0
2019-04-29,0.0
2019-04-30,0.0
2019-05-01,0.0
2019-05-02,0.0
2019-05-03,0.0
2019-05-06,0.0
2019-05-07,0.0
2019-05-08,0.0
2019-05-09,0.0
2019-05-10,0.0
2019-05-13,0.0
2019-05-14,0.0
2019-05-15,0.0
2019-05-16,0.0
2019-05-17,0.0
2019-05-20,0.0
2019-05-21,0.0
2019-05-22,0.0
2019-05-23,0.0
2019-05-24,0.0
2019-05-28,0.0
2019-05-29,0.0
2019-05-30,0.0
2019-05-31,0.0
2019-06-03,0.0
2019-06-04,0.0
2019-06-05,0.0
2019-06-06,0.0
2019-06-07,0.0
2019-06-10,0.0
2019-06-11,0.0
2019-06-12,0.0
2019-06-13,0.0
2019-06-14,0.0
2019-06-17,0.0
2019-06-18,0.0
2019-06-19,0.0
2019-06-20,0.0
2019-06-21,0.0
2019-06-24,0.0
2019-06-25,0.0
2019-06-26,0.0
2019-06-27,0.0
2019-06-28,0.0
2019-07-01,0.0
2019-07-02,0.0
2019-07-03,0.0
2019-07-05,0.0
2019-07-08,0.0
2019-07-09,0.0
2019-07-10,0.0
2019-07-11,0.0
2019-07-12,0.0
2019-07-15,0.0
2019-07-16,0.0
2019-07-17,0.0
2019-07-18,0.0
2019-07-19,0.0
2019-07-22,0.0
2019-07-23,0.0
2019-07-24,0.0
2019-07-25,0.0
2019-07-26,0.0
2019-07-29,0.0
2019-07-30,0.0
2019-07-31,0.0
2019-08-01,0.0
2019-08-02,0.0
2019-08-05,0.0
2019-08-06,0.0
2019-08-07,0.0
2019-08-08,0.0
2019-08-09,0.0
2019-08-12,0.0
2019-08-13,0.0
2019-08-14,0.0
2019-08-15,0.0
2019-08-16,0.0
2019-08-19,0.0
2019-08-20,0.0
2019-08-21,0.0
2019-08-22,0.0
2019-08-23,0.0
2019-08-26,0.0
2019-08-27,0.0
2019-08-28,0.0
2019-08-29,0.0
2019-08-30,0.0
