symbol,reaction_date,entry_date,exit_date,entry_price,exit_price,shares,gross_ret,net_ret,invested_cash,exit_reason,regime,is_satellite,ret_pct
AAPL,2017-01-31,2017-02-01,2017-03-16,31.76,35.17,523.0,0.10736775818639788,0.10294271662468502,16643.76753507014,scheduled,NORMAL,False,10.294271662468502
MTD,2017-02-02,2017-02-03,2017-03-20,447.9,481.07,37.0,0.0740567090868498,0.06976477847733875,16605.511022044087,scheduled,NORMAL,False,6.976477847733875
ZTS,2017-02-16,2017-02-17,2017-04-03,53.01,53.17,319.0,0.0030182984342577157,-0.0009897626862857,16944.078156312626,scheduled,NORMAL,False,-0.09897626862857001
ULTA,2017-03-09,2017-03-10,2017-04-24,271.0,278.21,63.0,0.02660516605166041,0.022502851808118063,17107.214428857715,scheduled,NORMAL,False,2.2502851808118063
ADBE,2017-03-16,2017-03-17,2017-05-01,128.45,135.11,134.0,0.051848968470222134,0.047645779992214976,17246.793587174347,scheduled,NORMAL,False,4.764577999221498
CCI,2017-04-24,2017-04-25,2017-06-07,96.73,103.21,178.0,0.06699059237051586,0.0627268979634028,17252.444889779563,scheduled,NORMAL,False,6.272689796340281
BA,2017-04-26,2017-04-27,2017-06-09,182.59,190.03,94.0,0.04074702886247872,0.036588203735144154,17197.855711422846,scheduled,NORMAL,False,3.6588203735144154
KLAC,2017-04-27,2017-04-28,2017-06-12,100.28,101.14,171.0,0.008575987235739824,0.004545717590745735,17182.244488977958,scheduled,NORMAL,False,0.4545717590745735
RMD,2017-04-27,2017-04-28,2017-06-12,67.2,73.04,256.0,0.08690476190476204,0.08256149047619066,17237.675350701404,scheduled,NORMAL,False,8.256149047619065
XYL,2017-05-02,2017-05-03,2017-06-15,50.34,53.96,344.0,0.0719110051648788,0.0676276487882399,17351.66332665331,scheduled,NORMAL,False,6.76276487882399
CLX,2017-05-03,2017-05-04,2017-06-16,131.56,139.5,131.0,0.060352690787473406,0.05611552143508658,17268.897795591183,scheduled,NORMAL,False,5.611552143508658
ANET,2017-05-04,2017-05-05,2017-06-19,8.68,9.79,2004.0,0.12788018433179715,0.12337317511520718,17429.579158316636,scheduled,NORMAL,False,12.337317511520718
TDY,2017-05-04,2017-05-05,2017-06-19,136.53,132.61,127.0,-0.028711638467735945,-0.03259290676041893,17374.058116232467,scheduled,NORMAL,False,-3.2592906760418927
CBOE,2017-05-09,2017-05-10,2017-06-22,85.38,88.57,204.0,0.037362379948465696,0.03321707987819145,17452.4248496994,scheduled,NORMAL,False,3.3217079878191447
DE,2017-05-19,2017-05-22,2017-07-05,122.08,125.6,142.0,0.028833551769331445,0.02472233289646142,17370.1002004008,scheduled,NORMAL,False,2.472233289646142
COO,2017-06-01,2017-06-02,2017-07-17,56.91,62.99,320.0,0.1068353540678264,0.10241243999297156,18247.69539078156,scheduled,NORMAL,False,10.241243999297156
IBKR,2017-07-18,2017-07-19,2017-08-30,9.25,10.42,2041.0,0.12648648648648653,0.12198504648648645,18917.084168336674,scheduled,NORMAL,False,12.198504648648644
UNH,2017-07-18,2017-07-19,2017-08-30,187.51,195.88,100.0,0.0446376193269693,0.040463247400138735,18788.577154308616,scheduled,NORMAL,False,4.0463247400138735
AVY,2017-07-25,2017-07-26,2017-09-07,91.45,92.67,208.0,0.013340623291416165,0.00929131416074358,19059.719438877757,scheduled,NORMAL,False,0.929131416074358
FSLR,2017-07-27,2017-07-28,2017-09-11,48.82,47.16,390.0,-0.034002458009012804,-0.03786258418680888,19077.955911823647,scheduled,NORMAL,False,-3.786258418680888
ODFL,2017-07-27,2017-07-28,2017-09-11,32.14,33.99,593.0,0.05756067205973858,0.05333465961418793,19097.214428857715,scheduled,NORMAL,False,5.333465961418793
SBAC,2017-07-31,2017-08-01,2017-09-13,135.1,149.15,142.0,0.10399703923019987,0.09958546706143578,19222.645290581164,scheduled,NORMAL,False,9.95854670614358
CME,2017-08-01,2017-08-02,2017-09-14,123.28,132.12,156.0,0.07170668397144708,0.06742414406229713,19270.220440881763,scheduled,NORMAL,False,6.742414406229713
ANET,2017-08-03,2017-08-04,2017-09-18,10.48,11.42,1840.0,0.08969465648854946,0.08534023664122126,19321.84368737475,scheduled,NORMAL,False,8.534023664122126
PODD,2017-08-03,2017-08-04,2017-09-18,53.95,58.71,357.0,0.08822984244670984,0.0838812759962928,19298.74749498998,scheduled,NORMAL,False,8.38812759962928
ZTS,2017-08-08,2017-08-09,2017-09-21,59.95,64.24,324.0,0.07155963302752277,0.0672776807339448,19462.725450901802,scheduled,NORMAL,False,6.72776807339448
BR,2017-08-10,2017-08-11,2017-09-25,71.84,81.56,264.0,0.1353006681514477,0.13076400668151433,19003.767535070143,scheduled,NORMAL,False,13.076400668151432
AMAT,2017-08-17,2017-08-18,2017-10-02,44.77,52.08,440.0,0.16327898146079955,0.1586305186508823,19738.276553106214,scheduled,NORMAL,False,15.863051865088229
LULU,2017-08-31,2017-09-01,2017-10-16,61.22,58.2,338.0,-0.049330284220842846,-0.0531291604050963,20733.827655310623,scheduled,NORMAL,False,-5.31291604050963
HAL,2017-10-23,2017-10-24,2017-12-06,42.43,43.38,504.0,0.022389818524628957,0.01830434880980425,21427.575150300603,scheduled,NORMAL,False,1.830434880980425
NOC,2017-10-25,2017-10-26,2017-12-08,306.0,305.67,69.0,-0.001078431372548927,-0.0050701219607843795,21156.312625250503,scheduled,NORMAL,False,-0.507012196078438
INTC,2017-10-26,2017-10-27,2017-12-11,43.3,43.66,489.0,0.008314087759815125,0.004284864665127008,21216.132264529057,scheduled,NORMAL,False,0.42848646651270084
APO,2017-11-01,2017-11-02,2017-12-15,31.67,32.31,681.0,0.02020839911588257,0.01613164635301545,21610.49098196393,scheduled,NORMAL,False,1.613164635301545
