,nav
2017-02-01,100191.60246492986
2017-02-02,100160.22246492987
2017-02-03,100746.72144288578
2017-02-06,101020.91144288579
2017-02-07,101086.47144288578
2017-02-08,101085.64144288578
2017-02-09,101282.93144288578
2017-02-10,101245.21144288579
2017-02-13,101339.53144288578
2017-02-14,101549.67144288578
2017-02-15,101683.47144288578
2017-02-16,101701.40144288579
2017-02-17,101750.07328657317
2017-02-21,102261.75328657316
2017-02-22,102281.69328657317
2017-02-23,102235.59328657316
2017-02-24,102457.29328657317
2017-02-27,102468.65328657316
2017-02-28,102345.42328657316
2017-03-01,103171.45328657316
2017-03-02,102815.82328657317
2017-03-03,102949.74328657317
2017-03-06,102705.31328657316
2017-03-07,102786.31328657316
2017-03-08,102718.56328657316
2017-03-09,102975.64328657316
2017-03-10,103964.58885771547
2017-03-13,104022.44885771544
2017-03-14,103704.28885771545
2017-03-15,104476.14885771545
2017-03-16,104223.80103771544
2017-03-17,104077.83745054109
2017-03-20,103814.3382705411
2017-03-21,103085.1782705411
2017-03-22,103515.7982705411
2017-03-23,103453.3882705411
2017-03-24,103600.08827054109
2017-03-27,103624.4982705411
2017-03-28,103915.4282705411
2017-03-29,103962.1382705411
2017-03-30,103985.5482705411
2017-03-31,104005.6882705411
2017-04-03,103634.00581054109
2017-04-04,103665.3258105411
2017-04-05,103650.26581054108
2017-04-06,103893.63581054109
2017-04-07,103874.03581054109
2017-04-10,103997.66581054109
2017-04-11,103973.30581054109
2017-04-12,103716.11581054109
2017-04-13,103602.5958105411
2017-04-17,103759.42581054108
2017-04-18,103715.77581054109
2017-04-19,103556.51581054108
2017-04-20,103671.3258105411
2017-04-21,103733.23581054108
2017-04-24,103800.49135054108
2017-04-25,103408.50646076152
2017-04-26,103355.64646076152
2017-04-27,103552.09074933868
2017-04-28,103458.0509096593
2017-05-01,103792.61142965932
2017-05-02,104147.56142965931
2017-05-03,103666.388103006
2017-05-04,104614.95030741481
2017-05-05,106025.98240025446
2017-05-08,105263.94982701643
2017-05-09,105046.47531268955
2017-05-10,104494.0286678623
2017-05-11,104089.11394135468
2017-05-12,103846.26628276921
2017-05-15,105304.07569140801
2017-05-16,104744.86216657264
2017-05-17,102924.14570756466
2017-05-18,103004.79631368553
2017-05-19,104625.2039842364
2017-05-22,105519.23277997464
2017-05-23,105877.50785444604
2017-05-24,106684.16900631614
2017-05-25,108296.18623465097
2017-05-26,107922.96953851635
2017-05-30,107987.15891697792
2017-05-31,108307.124369101
2017-06-01,109809.75589395076
2017-06-02,112153.35341043187
2017-06-05,112425.42135410102
2017-06-06,112120.65433299486
2017-06-07,113324.78497575033
2017-06-08,113966.93445074455
2017-06-09,112076.60890331856
2017-06-12,111509.20238201936
2017-06-13,112104.3513373484
2017-06-14,111949.45940909538
2017-06-15,112344.97492909538
2017-06-16,112127.20592909538
2017-06-19,113241.62466909538
2017-06-20,113026.48466909539
2017-06-21,112905.40466909538
2017-06-22,112780.42810909537
2017-06-23,112836.30810909538
2017-06-26,112845.60810909538
2017-06-27,112372.30810909538
2017-06-28,112510.64810909539
2017-06-29,111869.92810909537
2017-06-30,112294.08810909538
2017-07-03,112244.00810909539
2017-07-05,112431.83770909537
2017-07-06,112284.63770909538
2017-07-07,112806.23770909538
2017-07-10,112921.43770909538
2017-07-11,112950.23770909538
2017-07-12,113222.23770909538
2017-07-13,113103.83770909537
2017-07-14,113417.43770909538
2017-07-17,113505.12410909537
2017-07-18,113505.12410909537
2017-07-19,113699.76278645008
2017-07-20,114094.04278645008
2017-07-21,114754.75278645007
2017-07-24,114788.21278645008
2017-07-25,114739.21278645008
2017-07-26,114962.03334757232
2017-07-27,114753.51334757233
2017-07-28,115649.94300689097
2017-07-31,115694.53300689095
2017-08-01,116160.59103243271
2017-08-02,116097.7857226442
2017-08-03,115986.03972400673
2017-08-04,117132.22603415188
2017-08-07,117461.70020701717
2017-08-08,116834.03105944741
2017-08-09,116741.98915750001
2017-08-10,114258.36828110897
2017-08-11,115270.48073669261
2017-08-14,118984.81522258231
2017-08-15,119779.43420239721
2017-08-16,121187.78767482635
2017-08-17,118520.27563855848
2017-08-18,118372.5319495202
