symbol,reaction_date,entry_date,exit_date,entry_price,exit_price,shares,gross_ret,net_ret,invested_cash,exit_reason,regime,ret_pct
TEL,2017-01-25,2017-01-26,2017-03-10,75.29,74.61,182.0,-0.009031743923495927,-0.011012689467392645,13716.496496496497,scheduled,NORMAL,-1.1012689467392645
AAPL,2017-01-31,2017-02-01,2017-03-16,31.76,35.17,431.0,0.10736775818639788,0.10515413003778318,13702.262262262264,scheduled,NORMAL,10.515413003778317
SNPS,2017-02-15,2017-02-16,2017-03-31,71.73,72.13,192.0,0.005576467307960353,0.003566319949811936,13785.945945945945,scheduled,NORMAL,0.3566319949811936
LRCX,2017-04-19,2017-04-20,2017-06-02,13.7,15.87,1016.0,0.15839416058394162,0.15607853065693456,13933.133133133131,scheduled,NORMAL,15.607853065693455
HON,2017-04-21,2017-04-24,2017-06-06,122.89,127.09,113.0,0.03417690617625513,0.032109586540808754,13900.47047047047,scheduled,NORMAL,3.2109586540808754
ITW,2017-04-24,2017-04-25,2017-06-07,112.83807420064424,117.4357452392578,123.0,0.04074574181794488,0.0386652910800509,13892.976102782022,scheduled,NORMAL,3.86652910800509
TMUS,2017-04-24,2017-04-25,2017-06-07,66.0,65.92,211.0,-0.00121212121212122,-0.003208698181818237,13939.93993993994,scheduled,NORMAL,-0.3208698181818237
ALGN,2017-04-27,2017-04-28,2017-06-12,139.79,143.41,100.0,0.02589598683739891,0.023845220759711072,13992.992992992993,scheduled,NORMAL,2.384522075971107
TRMB,2017-04-27,2017-04-28,2017-06-12,34.04,36.31,411.0,0.0666862514688602,0.06455394565217398,14004.444444444445,scheduled,NORMAL,6.455394565217398
AME,2017-05-02,2017-05-03,2017-06-15,55.57795387128703,58.78652572631836,254.0,0.057731017994330225,0.05561661368935966,14130.931214521428,scheduled,NORMAL,5.561661368935966
HLT,2017-05-02,2017-05-03,2017-06-15,61.45,66.85,229.0,0.08787632221318131,0.08570165744507685,14086.136136136138,scheduled,NORMAL,8.570165744507685
MTD,2017-05-04,2017-05-05,2017-06-19,549.9,594.78,25.0,0.08161483906164757,0.07945269099836327,13761.261261261261,scheduled,NORMAL,7.945269099836327
CI,2017-05-05,2017-05-08,2017-06-20,160.66,169.58,89.0,0.05552097597410688,0.053410989543134724,14313.053053053052,scheduled,NORMAL,5.341098954313472
MAR,2017-05-09,2017-05-10,2017-06-22,102.34,103.89,140.0,0.015145593120969192,0.013116317080320572,14341.941941941943,scheduled,NORMAL,1.3116317080320572
MCHP,2017-05-09,2017-05-10,2017-06-22,39.95,40.03,360.0,0.0020025031289110373,-4.998748435181e-07,14396.396396396398,scheduled,NORMAL,-4.9987484351809996e-05
BA,2017-07-26,2017-07-27,2017-09-08,237.13,238.78,63.0,0.006958208577573455,0.004945299118626956,14954.144144144144,scheduled,NORMAL,0.49452991186269557
APD,2017-08-01,2017-08-02,2017-09-14,148.34,150.07,101.0,0.011662397195631558,0.009640084063637477,14997.337337337338,scheduled,NORMAL,0.9640084063637477
HUM,2017-08-02,2017-08-03,2017-09-15,241.83,249.28,62.0,0.03080676508290936,0.028746182359508765,15008.468468468469,scheduled,NORMAL,2.8746182359508765
TDY,2017-08-03,2017-08-04,2017-09-18,148.62,158.25,101.0,0.06479612434396453,0.06266759689140078,15025.645645645647,scheduled,NORMAL,6.266759689140078
TSN,2017-08-07,2017-08-08,2017-09-20,66.61,65.78,226.0,-0.01246059150277734,-0.014434682780363306,15068.92892892893,scheduled,NORMAL,-1.4434682780363306
GDDY,2017-08-12,2017-08-15,2017-09-27,42.28,42.93,355.0,0.015373699148533593,0.013343967123935707,15024.424424424424,scheduled,NORMAL,1.3343967123935707
AMAT,2017-08-17,2017-08-18,2017-10-02,44.77,52.08,333.0,0.16327898146079955,0.16095358677685945,14923.333333333336,scheduled,NORMAL,16.095358677685944
PANW,2017-08-31,2017-09-01,2017-10-16,24.13,24.83,629.0,0.029009531703273916,0.026952541649399198,15192.962962962962,scheduled,NORMAL,2.6952541649399198
STZ,2017-10-05,2017-10-06,2017-11-17,209.28,216.29,74.0,0.0334957951070336,0.0314298370126147,15502.22222222222,scheduled,NORMAL,3.1429837012614703
IBKR,2017-10-17,2017-10-18,2017-11-30,12.25,14.27,1278.0,0.16489795918367345,0.1625693281632652,15671.17117117117,scheduled,NORMAL,16.25693281632652
TMUS,2017-10-22,2017-10-24,2017-11-06,61.74,55.566,253.0,-0.09999999999999998,-0.10179910000000003,15635.855855855856,stop_loss,NORMAL,-10.179910000000003
CAT,2017-10-24,2017-10-25,2017-12-07,137.21,142.89,114.0,0.041396399679323403,0.03931464827636466,15657.597597597598,scheduled,NORMAL,3.931464827636466
HLT,2017-10-26,2017-10-27,2017-12-11,71.8,77.47,219.0,0.07896935933147642,0.07681249958217284,15739.939939939939,scheduled,NORMAL,7.681249958217284
INTC,2017-10-26,2017-10-27,2017-12-11,43.3,43.66,363.0,0.008314087759815125,0.0062984678983832865,15733.633633633634,scheduled,NORMAL,0.6298467898383286
ODFL,2017-10-26,2017-10-27,2017-12-11,39.33,42.87,400.0,0.09000762776506477,0.08782870251716246,15747.747747747748,scheduled,NORMAL,8.782870251716247
WY,2017-10-27,2017-10-30,2017-12-12,35.61,35.63,450.0,0.0005616399887673484,-0.0014384827295701452,16040.54054054054,scheduled,NORMAL,-0.14384827295701452
XYL,2017-10-31,2017-11-01,2017-12-14,67.02,66.7,235.0,-0.004774694121157719,-0.006764149507609507,15765.465465465464,scheduled,NORMAL,-0.6764149507609507
QCOM,2017-11-01,2017-11-02,2017-12-15,53.6,64.76,297.0,0.2082089552238806,0.20579374552238816,15935.135135135135,scheduled,NORMAL,20.579374552238818
AME,2017-11-02,2017-11-03,2017-12-18,65.08494951880243,67.7437744140625,248.0,0.04085160878079752,0.03877094641484469,16157.224705368371,scheduled,NORMAL,3.8770946414844687
MSCI,2017-11-02,2017-11-03,2017-12-18,125.97,127.28,128.0,0.01039930142097334,0.008379513217432688,16140.3003003003,scheduled,NORMAL,0.8379513217432688
DAL,2018-01-11,2018-01-12,2018-02-05,59.11,53.199,283.0,-0.09999999999999998,-0.10179910000000014,16744.874874874877,stop_loss,NORMAL,-10.179910000000014
PTC,2018-01-17,2018-01-18,2018-03-02,72.54,75.3,231.0,0.038047973531844415,0.0359729156327544,16773.513513513513,scheduled,NORMAL,3.59729156327544
HAL,2018-01-22,2018-01-23,2018-02-05,56.63,50.967000000000006,296.0,-0.09999999999999998,-0.10179909999999992,16779.25925925926,stop_loss,NORMAL,-10.179909999999992
MKC,2018-01-25,2018-01-26,2018-03-12,52.38,55.35,317.0,0.05670103092783507,0.05458868556701035,16621.08108108108,scheduled,NORMAL,5.458868556701035
MMM,2018-01-25,2018-01-26,2018-02-05,211.89,190.701,78.0,-0.09999999999999998,-0.10179909999999981,16543.96396396396,stop_loss,NORMAL,-10.179909999999982
HON,2018-01-26,2018-01-29,2018-02-05,157.84,142.056,106.0,-0.09999999999999998,-0.10179909999999981,16747.787787787787,stop_loss,NORMAL,-10.179909999999982
AVY,2018-01-31,2018-02-01,2018-03-16,119.6,111.63,140.0,-0.06663879598662203,-0.06850458503344481,16760.76076076076,scheduled,NORMAL,-6.8504585033444805
AME,2018-02-01,2018-02-02,2018-03-19,73.75069723757508,73.91144561767578,227.0,0.00217961844595016,0.0001762613886766573,16758.166439368913,scheduled,NORMAL,0.01762613886766573
ETN,2018-02-01,2018-02-02,2018-03-02,87.12,78.408,192.0,-0.09999999999999998,-0.10179909999999992,16743.783783783783,stop_loss,NORMAL,-10.179909999999992
A,2018-02-14,2018-02-15,2018-03-01,74.94,67.446,199.0,-0.09999999999999998,-0.10179910000000014,14927.987987987988,stop_loss,NORMAL,-10.179910000000014
AXON,2018-02-27,2018-02-28,2018-04-12,32.01,43.1,469.0,0.3464542330521714,0.3437626710403001,15027.717717717716,scheduled,NORMAL,34.37626710403001
BKNG,2018-02-27,2018-02-28,2018-04-12,2051.0,2085.81,7.0,0.0169722086786932,0.01493928123354471,14371.371371371371,scheduled,NORMAL,1.493928123354471
AMD,2018-04-25,2018-04-26,2018-06-08,10.87,15.25,1489.0,0.4029438822447102,0.4001393974241032,16201.63163163163,scheduled,NORMAL,40.01393974241032
BA,2018-04-25,2018-04-26,2018-06-08,344.01,369.5,47.0,0.07409668323595242,0.07194956396616381,16184.654654654654,scheduled,NORMAL,7.194956396616381
BSX,2018-04-25,2018-04-26,2018-06-08,29.57,31.95,547.0,0.08048698004734534,0.07832708657423049,16190.980980980981,scheduled,NORMAL,7.832708657423049
CMG,2018-04-25,2018-04-26,2018-06-08,7.77,9.07,2083.0,0.16731016731016735,0.16497671428571437,16201.111111111111,scheduled,NORMAL,16.497671428571437
TT,2018-04-25,2018-04-26,2018-06-08,66.19,70.36,244.0,0.06300045324067072,0.06087551533464275,16166.526526526526,scheduled,NORMAL,6.087551533464275
COP,2018-04-26,2018-04-27,2018-06-11,66.43,70.49,245.0,0.06111696522655419,0.058995792413066184,16291.641641641643,scheduled,NORMAL,5.899579241306618
DLR,2018-04-26,2018-04-27,2018-06-11,102.51,109.29,159.0,0.06613988879133736,0.0640086751536435,16315.405405405405,scheduled,NORMAL,6.40086751536435
MSFT,2018-04-26,2018-04-27,2018-06-11,97.6,101.05,167.0,0.035348360655737654,0.03327869928278693,16315.515515515515,scheduled,NORMAL,3.3278699282786928
FIS,2018-05-01,2018-05-02,2018-06-14,99.76,107.72,164.0,0.07979149959903764,0.07763299639133914,16377.017017017019,scheduled,NORMAL,7.763299639133914
ADP,2018-05-02,2018-05-03,2018-06-15,121.67,139.57,132.0,0.1471192570066573,0.14482616561190098,16076.516516516516,scheduled,NORMAL,14.482616561190099
DVN,2018-05-02,2018-05-03,2018-06-15,37.96,40.25,425.0,0.06032665964172801,0.058207066649104355,16149.149149149149,scheduled,NORMAL,5.8207066649104355
LYV,2018-05-03,2018-05-04,2018-06-18,46.16,46.97,361.0,0.017547660311958424,0.015513582538994708,16680.440440440438,scheduled,NORMAL,1.5513582538994708
JNJ,2018-07-17,2018-07-18,2018-08-29,128.81,134.86,146.0,0.04696840307429562,0.044875513236549924,18825.085085085087,scheduled,NORMAL,4.487551323654992
UAL,2018-07-18,2018-07-19,2018-08-30,80.0,86.92,235.0,0.08650000000000002,0.08432808650000001,18818.818818818818,scheduled,NORMAL,8.432808650000002
SNA,2018-07-19,2018-07-20,2018-08-31,172.58,176.78,109.0,0.024336539575848803,0.022288890833236596,18830.050050050053,scheduled,NORMAL,2.2288890833236596
HUBB,2018-07-24,2018-07-25,2018-09-06,120.51,127.75,156.0,0.060078001825574656,0.05795890589992525,18818.37837837838,scheduled,NORMAL,5.795890589992525
APH,2018-07-25,2018-07-26,2018-09-07,23.39,23.84,805.0,0.019238991021804264,0.01720153227875154,18847.797797797797,scheduled,NORMAL,1.7201532278751541
IEX,2018-07-25,2018-07-26,2018-09-07,150.0,152.35,125.0,0.015666666666666718,0.013636348999999992,18768.76876876877,scheduled,NORMAL,1.3636348999999992
NSC,2018-07-25,2018-07-26,2018-09-07,170.5,177.1,110.0,0.038709677419354716,0.03663329677419358,18773.773773773773,scheduled,NORMAL,3.663329677419358
TT,2018-07-25,2018-07-26,2018-09-07,74.72,77.8,252.0,0.04122055674518199,0.039139156852248336,18848.288288288288,scheduled,NORMAL,3.9139156852248336
PSX,2018-07-27,2018-07-30,2018-09-11,119.57,112.55,158.0,-0.05871037885757291,-0.060592016810236515,18910.970970970968,scheduled,NORMAL,-6.0592016810236515
AME,2018-07-31,2018-08-01,2018-09-13,74.03004150977429,76.86563110351562,263.0,0.03830322847201084,0.03622766031829516,19489.390307378017,scheduled,NORMAL,3.6227660318295163
ETN,2018-07-31,2018-08-01,2018-09-13,83.22,86.7,234.0,0.04181687094448461,0.03973427901946658,19492.972972972973,scheduled,NORMAL,3.973427901946658
JCI,2018-07-31,2018-08-01,2018-09-13,36.95,37.94,527.0,0.026792963464140618,0.02474040433017577,19492.142142142144,scheduled,NORMAL,2.474040433017577
AXP,2018-10-18,2018-10-19,2018-12-03,104.06,112.36,189.0,0.079761675956179,0.0776032323659428,19687.027027027027,scheduled,NORMAL,7.76032323659428
PYPL,2018-10-18,2018-10-19,2018-12-03,83.75,87.98,235.0,0.05050746268656714,0.048407498268656646,19700.95095095095,scheduled,NORMAL,4.840749826865665
