symbol,reaction_date,entry_date,exit_date,entry_price,exit_price,shares,gross_ret,net_ret,invested_cash,exit_reason,regime,ret_pct
TEL,2017-01-25,2017-01-26,2017-03-10,75.29,74.61,138.0,-0.009031743923495927,-0.012991653074777676,10410.841683366734,scheduled,NORMAL,-1.2991653074777676
AAPL,2017-01-31,2017-02-01,2017-03-16,31.76,35.17,327.0,0.10736775818639788,0.10294271662468524,10406.332665330661,scheduled,NORMAL,10.294271662468525
SNPS,2017-02-15,2017-02-16,2017-03-31,71.73,72.13,145.0,0.005576467307960353,0.0015581837445974855,10421.693386773548,scheduled,NORMAL,0.15581837445974855
LRCX,2017-04-19,2017-04-20,2017-06-02,13.7,15.87,766.0,0.15839416058394162,0.15376521751824823,10515.230460921843,scheduled,NORMAL,15.376521751824823
HON,2017-04-21,2017-04-24,2017-06-06,122.89,127.09,85.0,0.03417690617625513,0.030044335259175048,10466.583166332664,scheduled,NORMAL,3.004433525917505
ITW,2017-04-24,2017-04-25,2017-06-07,112.83807420064424,117.4357452392578,93.0,0.04074574181794488,0.036586921833640096,10514.970842344605,scheduled,NORMAL,3.6586921833640096
TMUS,2017-04-24,2017-04-25,2017-06-07,66.0,65.92,159.0,-0.00121212121212122,-0.005203277575757448,10515.03006012024,scheduled,NORMAL,-0.5203277575757448
ALGN,2017-04-27,2017-04-28,2017-06-12,139.79,143.41,75.0,0.02589598683739891,0.02179650647399667,10505.260521042084,scheduled,NORMAL,2.179650647399667
TRMB,2017-04-27,2017-04-28,2017-06-12,34.04,36.31,308.0,0.0666862514688602,0.06242377320799086,10505.330661322645,scheduled,NORMAL,6.242377320799086
AME,2017-05-02,2017-05-03,2017-06-15,55.57795387128703,58.78652572631836,190.0,0.057731017994330225,0.05350432484642487,10580.973181908352,scheduled,NORMAL,5.350432484642487
HLT,2017-05-02,2017-05-03,2017-06-15,61.45,66.85,172.0,0.08787632221318131,0.08352916842961755,10590.581162324648,scheduled,NORMAL,8.352916842961754
MTD,2017-05-04,2017-05-05,2017-06-19,549.9,594.78,19.0,0.08161483906164757,0.07729270616475703,10469.038076152305,scheduled,NORMAL,7.729270616475703
CI,2017-05-05,2017-05-08,2017-06-20,160.66,169.58,66.0,0.05552097597410688,0.05130311415411426,10624.809619238476,scheduled,NORMAL,5.130311415411426
MAR,2017-05-09,2017-05-10,2017-06-22,102.34,103.89,103.0,0.015145593120969192,0.011089071330858014,10562.144288577154,scheduled,NORMAL,1.1089071330858014
MCHP,2017-05-09,2017-05-10,2017-06-22,39.95,40.03,265.0,0.0020025031289110373,-0.0020014988735919115,10607.965931863728,scheduled,NORMAL,-0.20014988735919115
BA,2017-07-26,2017-07-27,2017-09-08,237.13,238.78,46.0,0.006958208577573455,0.002934403576097644,10929.839679358716,scheduled,NORMAL,0.2934403576097644
APD,2017-08-01,2017-08-02,2017-09-14,148.34,150.07,75.0,0.011662397195631558,0.007619794256437995,11147.795591182365,scheduled,NORMAL,0.7619794256437995
HUM,2017-08-02,2017-08-03,2017-09-15,241.83,249.28,46.0,0.03080676508290936,0.02668766124963806,11146.472945891785,scheduled,NORMAL,2.668766124963806
TDY,2017-08-03,2017-08-04,2017-09-18,148.62,158.25,74.0,0.06479612434396453,0.06054119903108579,11019.91983967936,scheduled,NORMAL,6.054119903108579
TSN,2017-08-07,2017-08-08,2017-09-20,66.61,65.78,167.0,-0.01246059150277734,-0.016406798979132442,11146.1623246493,scheduled,NORMAL,-1.6406798979132442
GDDY,2017-08-12,2017-08-15,2017-09-27,42.28,42.93,263.0,0.015373699148533593,0.011316265846736062,11141.92384769539,scheduled,NORMAL,1.1316265846736062
AMAT,2017-08-17,2017-08-18,2017-10-02,44.77,52.08,248.0,0.16327898146079955,0.1586305186508823,11125.210420841684,scheduled,NORMAL,15.863051865088229
PANW,2017-08-31,2017-09-01,2017-10-16,24.13,24.83,463.0,0.029009531703273916,0.024897609614587646,11194.579158316632,scheduled,NORMAL,2.4897609614587646
STZ,2017-10-05,2017-10-06,2017-11-17,209.28,216.29,54.0,0.0334957951070336,0.029365945909785918,11323.767535070141,scheduled,NORMAL,2.9365945909785918
IBKR,2017-10-17,2017-10-18,2017-11-30,12.25,14.27,934.0,0.16489795918367345,0.16024302693877535,11464.428857715431,scheduled,NORMAL,16.024302693877534
TMUS,2017-10-22,2017-10-24,2017-12-06,61.74,62.12,185.0,0.006154842889536605,0.002134248137350303,11444.789579158316,scheduled,NORMAL,0.2134248137350303
CAT,2017-10-24,2017-10-25,2017-12-07,137.21,142.89,83.0,0.041396399679323403,0.037234979666204815,11411.252505010021,scheduled,NORMAL,3.7234979666204815
HLT,2017-10-26,2017-10-27,2017-12-11,71.8,77.47,159.0,0.07896935933147642,0.07465779777158787,11439.078156312624,scheduled,NORMAL,7.4657797771587875
INTC,2017-10-26,2017-10-27,2017-12-11,43.3,43.66,265.0,0.008314087759815125,0.004284864665127008,11497.49498997996,scheduled,NORMAL,0.42848646651270084
ODFL,2017-10-26,2017-10-27,2017-12-11,39.33,42.87,292.0,0.09000762776506477,0.0856519572845158,11507.374749498997,scheduled,NORMAL,8.565195728451581
WY,2017-10-27,2017-10-30,2017-12-12,35.61,35.63,325.0,0.0005616399887673484,-0.00343660432462789,11596.442885771543,scheduled,NORMAL,-0.343660432462789
XYL,2017-10-31,2017-11-01,2017-12-14,67.02,66.7,170.0,-0.004774694121157719,-0.008751614443449629,11416.232464929859,scheduled,NORMAL,-0.8751614443449629
QCOM,2017-11-01,2017-11-02,2017-12-15,53.6,64.76,215.0,0.2082089552238806,0.20338095223880615,11547.094188376754,scheduled,NORMAL,20.338095223880615
AME,2017-11-02,2017-11-03,2017-12-18,65.08494951880243,67.7437744140625,178.0,0.04085160878079752,0.036692365752109435,11608.337689726284,scheduled,NORMAL,3.6692365752109435
MSCI,2017-11-02,2017-11-03,2017-12-18,125.97,127.28,92.0,0.01039930142097334,0.0063617458124951565,11612.46492985972,scheduled,NORMAL,0.6361745812495156
DAL,2018-01-11,2018-01-12,2018-02-06,59.11,51.87,205.0,-0.12248350532904762,-0.1259900612417526,12141.83366733467,stop_loss,NORMAL,-12.599006124175261
PTC,2018-01-17,2018-01-18,2018-03-02,72.54,75.3,167.0,0.038047973531844415,0.03389993382961132,12138.456913827655,scheduled,NORMAL,3.3899933829611317
HAL,2018-01-22,2018-01-23,2018-02-05,56.63,49.8344,215.0,-0.12,-0.12351648000000015,12199.8496993988,stop_loss,NORMAL,-12.351648000000015
MKC,2018-01-25,2018-01-26,2018-03-12,52.38,55.35,231.0,0.05670103092783507,0.05247845360824743,12124.028056112225,scheduled,NORMAL,5.247845360824743
MMM,2018-01-25,2018-01-26,2018-02-08,211.89,186.4632,57.0,-0.12,-0.12351647999999982,12101.93386773547,stop_loss,NORMAL,-12.351647999999981
HON,2018-01-26,2018-01-29,2018-02-09,157.84,138.8992,77.0,-0.12,-0.12351647999999993,12178.036072144288,stop_loss,NORMAL,-12.351647999999994
AVY,2018-01-31,2018-02-01,2018-03-16,119.6,111.63,102.0,-0.06663879598662203,-0.07036850735785938,12223.647294589176,scheduled,NORMAL,-7.036850735785938
AME,2018-02-01,2018-02-02,2018-03-19,73.75069723757508,73.91144561767578,166.0,0.00217961844595016,-0.0018250913093599275,12267.150041520505,scheduled,NORMAL,-0.18250913093599275
ETN,2018-02-01,2018-02-02,2018-03-19,87.12,80.46,140.0,-0.07644628099173567,-0.08013680165289272,12221.242484969942,scheduled,NORMAL,-8.013680165289273
A,2018-02-14,2018-02-15,2018-03-23,74.94,65.9472,146.0,-0.12,-0.12351647999999993,10963.16633266533,stop_loss,NORMAL,-12.351647999999994
AXON,2018-02-27,2018-02-28,2018-04-12,32.01,43.1,344.0,0.3464542330521714,0.34107380193689485,11033.507014028055,scheduled,NORMAL,34.10738019368949
BKNG,2018-02-27,2018-02-28,2018-04-12,2051.0,2085.81,5.0,0.0169722086786932,0.012908387732813331,10275.551102204408,scheduled,NORMAL,1.2908387732813331
AMD,2018-04-25,2018-04-26,2018-06-08,10.87,15.25,1078.0,0.4029438822447102,0.3973377184912603,11741.34268537074,scheduled,NORMAL,39.73377184912603
BA,2018-04-25,2018-04-26,2018-06-08,344.01,369.5,34.0,0.07409668323595242,0.0698045928897415,11719.779559118237,scheduled,NORMAL,6.98045928897415
BSX,2018-04-25,2018-04-26,2018-06-08,29.57,31.95,396.0,0.08048698004734534,0.07616935407507586,11733.186372745491,scheduled,NORMAL,7.616935407507586
CMG,2018-04-25,2018-04-26,2018-06-08,7.77,9.07,1508.0,0.16731016731016735,0.162645595881596,11740.64128256513,scheduled,NORMAL,16.2645595881596
TT,2018-04-25,2018-04-26,2018-06-08,66.19,70.36,177.0,0.06300045324067072,0.05875270342952099,11739.108216432865,scheduled,NORMAL,5.875270342952099
COP,2018-04-26,2018-04-27,2018-06-11,66.43,70.49,177.0,0.06111696522655419,0.05687674183350877,11781.673346693387,scheduled,NORMAL,5.687674183350877
DLR,2018-04-26,2018-04-27,2018-06-11,102.51,109.29,114.0,0.06613988879133736,0.06187959379572705,11709.559118236475,scheduled,NORMAL,6.187959379572705
MSFT,2018-04-26,2018-04-27,2018-06-11,97.6,101.05,120.0,0.035348360655737654,0.03121110860655718,11735.470941883768,scheduled,NORMAL,3.121110860655718
FIS,2018-05-01,2018-05-02,2018-06-14,99.76,107.72,118.0,0.07979149959903764,0.07547665276663973,11795.270541082165,scheduled,NORMAL,7.547665276663973
ADP,2018-05-02,2018-05-03,2018-06-15,121.67,139.57,97.0,0.1471192570066573,0.14253536845565873,11825.64128256513,scheduled,NORMAL,14.253536845565872
DVN,2018-05-02,2018-05-03,2018-06-15,37.96,40.25,312.0,0.06032665964172801,0.05608959430979965,11867.254509018037,scheduled,NORMAL,5.608959430979965
LYV,2018-05-03,2018-05-04,2018-06-18,46.16,46.97,260.0,0.017547660311958424,0.013481539861351921,12025.651302605209,scheduled,NORMAL,1.348153986135192
JNJ,2018-07-17,2018-07-18,2018-08-29,128.81,134.86,102.0,0.04696840307429562,0.04278471733561062,13164.9498997996,scheduled,NORMAL,4.278471733561062
UAL,2018-07-18,2018-07-19,2018-08-30,80.0,86.92,164.0,0.08650000000000002,0.08215834599999994,13146.29258517034,scheduled,NORMAL,8.215834599999994
SNA,2018-07-19,2018-07-20,2018-08-31,172.58,176.78,76.0,0.024336539575848803,0.020243290763703792,13142.36472945892,scheduled,NORMAL,2.024329076370379
HUBB,2018-07-24,2018-07-25,2018-09-06,120.51,127.75,109.0,0.060078001825574656,0.055841930130279493,13161.913827655311,scheduled,NORMAL,5.584193013027949
APH,2018-07-25,2018-07-26,2018-09-07,23.39,23.84,563.0,0.019238991021804264,0.015166112013681232,13194.959919839679,scheduled,NORMAL,1.5166112013681232
IEX,2018-07-25,2018-07-26,2018-09-07,150.0,152.35,87.0,0.015666666666666718,0.011608062666666585,13076.152304609219,scheduled,NORMAL,1.1608062666666585
NSC,2018-07-25,2018-07-26,2018-09-07,170.5,177.1,77.0,0.038709677419354716,0.034558993548386985,13154.809619238476,scheduled,NORMAL,3.4558993548386985
TT,2018-07-25,2018-07-26,2018-09-07,74.72,77.8,176.0,0.04122055674518199,0.03705983940042823,13177.074148296593,scheduled,NORMAL,3.705983940042823
PSX,2018-07-27,2018-07-30,2018-09-11,119.57,112.55,110.0,-0.05871037885757291,-0.06247177218365807,13179.058116232463,scheduled,NORMAL,-6.247177218365807
AME,2018-07-31,2018-08-01,2018-09-13,74.03004150977429,76.86563110351562,181.0,0.03830322847201084,0.0341541687710365,13426.29009345606,scheduled,NORMAL,3.4154168771036497
ETN,2018-07-31,2018-08-01,2018-09-13,83.22,86.7,161.0,0.04181687094448461,0.03765377072819054,13425.270541082164,scheduled,NORMAL,3.765377072819054
JCI,2018-07-31,2018-08-01,2018-09-13,36.95,37.94,364.0,0.026792963464140618,0.022689898782138007,13476.75350701403,scheduled,NORMAL,2.2689898782138007
AXP,2018-10-18,2018-10-19,2018-12-03,104.06,112.36,130.0,0.079761675956179,0.07544694829905829,13554.909819639279,scheduled,NORMAL,7.544694829905829
PYPL,2018-10-18,2018-10-19,2018-12-03,83.75,87.98,162.0,0.05050746268656714,0.04630963486567152,13594.689378757515,scheduled,NORMAL,4.630963486567152
NSC,2018-10-24,2018-10-25,2018-12-10,165.55,155.88,30.0,-0.058411356085774746,-0.062173944306855966,4976.452905811623,scheduled,RISK_OFF,-6.217394430685596
EME,2018-10-25,2018-10-26,2018-12-11,68.66,64.79,75.0,-0.05636469560151458,-0.060135462277890794,5159.819639278557,scheduled,RISK_OFF,-6.01354622778908
ROP,2018-10-26,2018-10-29,2018-12-12,289.33,284.35,17.0,-0.017212179863823174,-0.021139399993087338,4928.466933867735,scheduled,RISK_OFF,-2.1139399993087338
AKAM,2018-10-29,2018-10-30,2018-12-13,69.97,67.25,75.0,-0.03887380305845356,-0.04271446334143192,5258.266533066132,scheduled,RISK_OFF,-4.271446334143192
OKE,2018-10-31,2018-11-01,2018-12-06,65.92,58.0096,293.0,-0.12,-0.12351648000000004,19353.266533066133,stop_loss,NORMAL,-12.351648000000004
EPAM,2018-11-01,2018-11-02,2018-12-18,128.42,117.44,150.0,-0.0855007008254165,-0.08915504002491814,19301.603206412823,scheduled,NORMAL,-8.915504002491815
GNRC,2018-11-01,2018-11-02,2018-12-18,54.43,51.43,354.0,-0.055116663604629745,-0.05889241741686568,19306.83366733467,scheduled,NORMAL,-5.889241741686568
DXCM,2018-11-07,2018-11-08,2018-11-19,35.9,31.592,548.0,-0.12,-0.12351648000000004,19712.625250501,stop_loss,NORMAL,-12.351648000000004
WDAY,2018-11-29,2018-11-30,2019-01-16,155.15,165.34,119.0,0.06567837576538826,0.0614199249758296,18499.8496993988,scheduled,NORMAL,6.14199249758296
UNH,2019-01-15,2019-01-16,2019-03-01,258.73,246.15,50.0,-0.048622115719089476,-0.05242382174467586,12962.424849699399,scheduled,NORMAL,-5.242382174467586
HCA,2019-01-29,2019-01-30,2019-03-14,138.23,131.77,94.0,-0.04673370469507332,-0.05054295681111176,13019.659318637274,scheduled,NORMAL,-5.054295681111176
LHX,2019-01-29,2019-01-30,2019-03-14,155.82,160.44,83.0,0.029649595687331498,0.025535115902964867,12958.977955911823,scheduled,NORMAL,2.5535115902964867
META,2019-01-30,2019-01-31,2019-03-15,165.6,165.98,78.0,0.002294685990338108,-0.0017104835748792402,12942.685370741483,scheduled,NORMAL,-0.17104835748792402
COP,2019-01-31,2019-02-01,2019-03-18,68.34,67.61,191.0,-0.010681884694176191,-0.014635199882938377,13079.098196392786,scheduled,NORMAL,-1.4635199882938377
DECK,2019-01-31,2019-02-01,2019-03-18,24.17,24.1,540.0,-0.002896152254861395,-0.006880579230451045,13077.955911823648,scheduled,NORMAL,-0.6880579230451045
UPS,2019-01-31,2019-02-01,2019-03-18,105.72,110.69,123.0,0.047010972379871285,0.042827116534241316,13029.619238476953,scheduled,NORMAL,4.282711653424132
AZO,2019-02-26,2019-02-27,2019-04-10,900.0,1060.17,14.0,0.17796666666666683,0.17325951186666688,12625.250501002003,scheduled,NORMAL,17.32595118666669
CSGP,2019-02-26,2019-02-27,2019-04-10,44.5,47.87,297.0,0.07573033707865173,0.0714317186516853,13242.985971943888,scheduled,NORMAL,7.143171865168529
LULU,2019-03-27,2019-03-28,2019-05-10,169.15,173.68,76.0,0.02678096364173821,0.02267794691102587,12881.162324649298,scheduled,NORMAL,2.267794691102587
DHR,2019-04-18,2019-04-22,2019-06-04,111.27,117.4,119.0,0.05509121955603491,0.050875075042688955,13267.665330661323,scheduled,NORMAL,5.0875075042688955
