date,nav
2017-01-26,99919.30859859861
2017-01-27,99890.0985985986
2017-01-30,99859.61859859861
2017-01-31,99871.0485985986
2017-02-01,100025.19926926927
2017-02-02,99993.16926926927
2017-02-03,100145.79926926928
2017-02-06,100252.60926926928
2017-02-07,100371.31926926928
2017-02-08,100305.03926926928
2017-02-09,100386.73926926928
2017-02-10,100340.26926926928
2017-02-13,100469.46926926928
2017-02-14,100599.36926926929
2017-02-15,100655.80926926929
2017-02-16,100447.45962962964
2017-02-17,100452.05962962963
2017-02-21,100652.84962962964
2017-02-22,100664.77962962963
2017-02-23,100479.68962962963
2017-02-24,100614.87962962964
2017-02-27,100721.76962962963
2017-02-28,100578.08962962964
2017-03-01,101106.00962962964
2017-03-02,100803.00962962964
2017-03-03,100867.60962962963
2017-03-06,100624.53962962964
2017-03-07,100705.86962962963
2017-03-08,100726.77962962963
2017-03-09,100674.99962962963
2017-03-10,100797.79415962963
2017-03-13,100838.39415962964
2017-03-14,100646.45415962963
2017-03-15,100689.99415962963
2017-03-16,100762.28798962964
2017-03-17,100812.82798962963
2017-03-20,100863.36798962964
2017-03-21,100742.33798962964
2017-03-22,100803.51798962963
2017-03-23,100823.46798962963
2017-03-24,100814.15798962963
2017-03-27,100842.08798962964
2017-03-28,100921.88798962963
2017-03-29,100960.45798962963
2017-03-30,100955.13798962963
2017-03-31,100934.90469962964
2017-04-03,100934.90469962964
2017-04-04,100934.90469962964
2017-04-05,100934.90469962964
2017-04-06,100934.90469962964
2017-04-07,100934.90469962964
2017-04-10,100934.90469962964
2017-04-11,100934.90469962964
2017-04-12,100934.90469962964
2017-04-13,100934.90469962964
2017-04-17,100934.90469962964
2017-04-18,100934.90469962964
2017-04-19,100934.90469962964
2017-04-20,101094.43653146147
2017-04-21,101136.73653146147
2017-04-24,101411.03151644646
2017-04-25,101809.04064310575
2017-04-26,101873.24412882354
2017-04-27,102005.30781565215
2017-04-28,101807.74710695763
2017-05-01,102262.75559908408
2017-05-02,102151.72798464316
2017-05-03,101823.21535422669
2017-05-04,102611.40514121401
2017-05-05,102621.95394107587
2017-05-08,102291.74901901606
2017-05-09,102785.09716186883
2017-05-10,102578.11459729946
2017-05-11,102648.3183914504
2017-05-12,102403.55329962171
2017-05-15,103161.93165543987
2017-05-16,103425.89282210283
2017-05-17,100776.2167327243
