symbol,reaction_date,entry_date,exit_date,entry_price,exit_price,shares,gross_ret,net_ret,invested_cash,exit_reason,regime,ret_pct
TEL,2017-01-25,2017-01-26,2017-03-10,75.29,74.61,127.0,-0.009031743923495927,-0.011012689467392756,9571.401401401401,scheduled,NORMAL,-1.1012689467392756
AAPL,2017-01-31,2017-02-01,2017-03-16,31.76,35.17,301.0,0.10736775818639788,0.10515413003778318,9569.32932932933,scheduled,NORMAL,10.515413003778317
SNPS,2017-02-15,2017-02-16,2017-03-31,71.73,72.13,133.0,0.005576467307960353,0.0035663199498117137,9549.63963963964,scheduled,NORMAL,0.3566319949811714
LRCX,2017-04-19,2017-04-20,2017-06-02,13.7,15.87,705.0,0.15839416058394162,0.1560785306569341,9668.168168168168,scheduled,NORMAL,15.607853065693412
HON,2017-04-21,2017-04-24,2017-06-06,122.89,127.09,78.0,0.03417690617625513,0.032109586540808976,9595.015015015015,scheduled,NORMAL,3.2109586540808976
ITW,2017-04-24,2017-04-25,2017-06-07,112.83807420064424,117.4357452392578,85.0,0.04074574181794488,0.0386652910800509,9600.837144198958,scheduled,NORMAL,3.86652910800509
TMUS,2017-04-24,2017-04-25,2017-06-07,66.0,65.92,146.0,-0.00121212121212122,-0.003208698181818237,9645.645645645645,scheduled,NORMAL,-0.3208698181818237
ALGN,2017-04-27,2017-04-28,2017-06-12,139.79,143.41,69.0,0.02589598683739891,0.02384522075971085,9655.165165165165,scheduled,NORMAL,2.384522075971085
TRMB,2017-04-27,2017-04-28,2017-06-12,34.04,36.31,283.0,0.0666862514688602,0.06455394565217398,9642.962962962964,scheduled,NORMAL,6.455394565217398
AME,2017-05-02,2017-05-03,2017-06-15,55.57795387128703,58.78652572631836,175.0,0.057731017994330225,0.05561661368935966,9735.87780528051,scheduled,NORMAL,5.561661368935966
HLT,2017-05-02,2017-05-03,2017-06-15,61.45,66.85,158.0,0.08787632221318131,0.08570165744507707,9718.81881881882,scheduled,NORMAL,8.570165744507708
MTD,2017-05-04,2017-05-05,2017-06-19,549.9,594.78,17.0,0.08161483906164757,0.0794526909983635,9357.657657657657,scheduled,NORMAL,7.9452690998363495
CI,2017-05-05,2017-05-08,2017-06-20,160.66,169.58,61.0,0.05552097597410688,0.0534109895431345,9810.07007007007,scheduled,NORMAL,5.34109895431345
MAR,2017-05-09,2017-05-10,2017-06-22,102.34,103.89,96.0,0.015145593120969192,0.013116317080320794,9834.474474474473,scheduled,NORMAL,1.3116317080320794
