symbol,reaction_date,entry_date,exit_date,entry_price,exit_price,shares,gross_ret,net_ret,invested_cash,ret_pct
GPN,2017-01-09,2017-01-10,2017-02-23,80.26,78.21,0.0010382922169615415,-0.02554198853725409,-0.0255419885372542,0.08333333333333333,-2.55419885372542
DHI,2017-01-24,2017-01-25,2017-03-09,30.91,33.05,0.0026925560783272327,0.06923325784535739,0.06923325784535717,0.08322690838109477,6.923325784535717
TEL,2017-01-25,2017-01-26,2017-03-10,75.29,74.61,0.0011059268132182743,-0.009031743923495927,-0.009031743923495927,0.08326522976720388,-0.9031743923495927
AAPL,2017-01-31,2017-02-01,2017-03-16,31.76,35.17,0.002605934513829508,0.10736775818639788,0.10736775818639788,0.08276448015922518,10.736775818639789
SNPS,2017-02-15,2017-02-16,2017-03-31,71.73,72.13,0.0011665175387464018,0.005576467307960353,0.005576467307960353,0.0836743030542794,0.5576467307960353
HPQ,2017-02-22,2017-02-23,2017-04-06,16.51,17.56,0.005068193035522175,0.0635978195033311,0.0635978195033311,0.08367586701647112,6.35978195033311
LRCX,2017-04-19,2017-04-20,2017-06-02,13.7,15.87,0.006189513303678931,0.15839416058394162,0.15839416058394162,0.08479633226040134,15.839416058394162
HON,2017-04-21,2017-04-24,2017-06-06,122.89,127.09,0.0006912773219382644,0.03417690617625513,0.03417690617625535,0.08495107009299331,3.417690617625535
ITW,2017-04-24,2017-04-25,2017-06-07,112.83807420064424,117.4357452392578,0.0007547054997359805,0.04074574181794488,0.04074574181794488,0.08515951517884286,4.074574181794488
TMUS,2017-04-24,2017-04-25,2017-06-07,66.0,65.92,0.001290295684527922,-0.00121212121212122,-0.00121212121212122,0.08515951517884286,-0.12121212121212199
AMD,2017-04-26,2017-04-27,2017-06-09,13.43,12.28,0.006367324864895562,-0.08562918838421452,-0.08562918838421463,0.0855131729355474,-8.562918838421464
ALGN,2017-04-27,2017-04-28,2017-06-12,139.79,143.41,0.0006131394917750649,0.02589598683739891,0.02589598683739891,0.08571076955523631,2.589598683739891
TRMB,2017-04-27,2017-04-28,2017-06-12,34.04,36.31,0.0025179427013876706,0.0666862514688602,0.0666862514688602,0.08571076955523631,6.66862514688602
AME,2017-05-02,2017-05-03,2017-06-15,55.57795387128703,58.78652572631836,0.0015128648242914862,0.057731017994330225,0.057731017994330225,0.08408193141796498,5.7731017994330225
CMI,2017-05-02,2017-05-03,2017-06-15,159.45,161.7,0.0005273247501910629,0.01411100658513642,0.01411100658513642,0.08408193141796498,1.411100658513642
HLT,2017-05-02,2017-05-03,2017-06-15,61.45,66.85,0.001368298314368836,0.08787632221318131,0.08787632221318131,0.08408193141796498,8.78763222131813
APTV,2017-05-03,2017-05-04,2017-06-16,69.7468031855,68.4562365305,0.001202241169938924,-0.018503595807360385,-0.018503595807360274,0.08385247826123539,-1.8503595807360274
