symbol,reaction_date,trade_long,trade_long_tier,year,quarter
TEL,2017-01-25,True,D7_CORE,2017,1
AAPL,2017-01-31,True,D7_CORE,2017,1
SNPS,2017-02-15,True,D7_CORE,2017,1
LRCX,2017-04-19,True,D7_CORE,2017,2
HON,2017-04-21,True,D7_CORE,2017,2
TMUS,2017-04-24,True,D7_CORE,2017,2
ITW,2017-04-24,True,D7_CORE,2017,2
TRMB,2017-04-27,True,D7_CORE,2017,2
ALGN,2017-04-27,True,D7_CORE,2017,2
AME,2017-05-02,True,D7_CORE,2017,2
HLT,2017-05-02,True,D7_CORE,2017,2
MTD,2017-05-04,True,D7_CORE,2017,2
CI,2017-05-05,True,D7_CORE,2017,2
MAR,2017-05-09,True,D7_CORE,2017,2
MCHP,2017-05-09,True,D7_CORE,2017,2
NVDA,2017-05-09,True,D7_CORE,2017,2
DE,2017-05-19,True,D7_CORE,2017,2
NTAP,2017-05-24,True,D7_CORE,2017,2
COO,2017-06-01,True,D7_CORE,2017,2
WDAY,2017-06-01,True,D7_CORE,2017,2
DRI,2017-06-27,True,D7_CORE,2017,2
STZ,2017-06-29,True,D7_CORE,2017,2
BA,2017-07-26,True,D7_CORE,2017,3
APD,2017-08-01,True,D7_CORE,2017,3
HUM,2017-08-02,True,D7_CORE,2017,3
TDY,2017-08-03,True,D7_CORE,2017,3
TSN,2017-08-07,True,D7_CORE,2017,3
GDDY,2017-08-12,True,D7_CORE,2017,3
AMAT,2017-08-17,True,D7_CORE,2017,3
PANW,2017-08-31,True,D7_CORE,2017,3
STZ,2017-10-05,True,D7_CORE,2017,4
IBKR,2017-10-17,True,D7_CORE,2017,4
TMUS,2017-10-22,True,D7_CORE,2017,4
CAT,2017-10-24,True,D7_CORE,2017,4
ODFL,2017-10-26,True,D7_CORE,2017,4
INTC,2017-10-26,True,D7_CORE,2017,4
HLT,2017-10-26,True,D7_CORE,2017,4
WY,2017-10-27,True,D7_CORE,2017,4
XYL,2017-10-31,True,D7_CORE,2017,4
QCOM,2017-11-01,True,D7_CORE,2017,4
ZTS,2017-11-02,True,D7_CORE,2017,4
AME,2017-11-02,True,D7_CORE,2017,4
MSCI,2017-11-02,True,D7_CORE,2017,4
PH,2017-11-02,True,D7_CORE,2017,4
PODD,2017-11-02,True,D7_CORE,2017,4
A,2017-11-20,True,D7_CORE,2017,4
DG,2017-12-07,True,D7_CORE,2017,4
CCL,2017-12-19,True,D7_CORE,2017,4
ACN,2017-12-21,True,D7_CORE,2017,4
DAL,2018-01-11,True,D7_CORE,2018,1
PTC,2018-01-17,True,D7_CORE,2018,1
HAL,2018-01-22,True,D7_CORE,2018,1
MMM,2018-01-25,True,D7_CORE,2018,1
MKC,2018-01-25,True,D7_CORE,2018,1
HON,2018-01-26,True,D7_CORE,2018,1
AVY,2018-01-31,True,D7_CORE,2018,1
ETN,2018-02-01,True,D7_CORE,2018,1
AME,2018-02-01,True,D7_CORE,2018,1
CHD,2018-02-05,True,D7_CORE,2018,1
TPR,2018-02-06,True,D7_CORE,2018,1
A,2018-02-14,True,D7_CORE,2018,1
AXON,2018-02-27,True,D7_CORE,2018,1
BKNG,2018-02-27,True,D7_CORE,2018,1
CRM,2018-02-28,True,D7_CORE,2018,1
KEYS,2018-03-01,True,D7_CORE,2018,1
ADSK,2018-03-06,True,D7_CORE,2018,1
AMD,2018-04-25,True,D7_CORE,2018,2
CMG,2018-04-25,True,D7_CORE,2018,2
BSX,2018-04-25,True,D7_CORE,2018,2
BA,2018-04-25,True,D7_CORE,2018,2
TT,2018-04-25,True,D7_CORE,2018,2
COP,2018-04-26,True,D7_CORE,2018,2
DLR,2018-04-26,True,D7_CORE,2018,2
MSFT,2018-04-26,True,D7_CORE,2018,2
FIS,2018-05-01,True,D7_CORE,2018,2
ADP,2018-05-02,True,D7_CORE,2018,2
DVN,2018-05-02,True,D7_CORE,2018,2
LYV,2018-05-03,True,D7_CORE,2018,2
PSKY,2018-05-03,True,D7_CORE,2018,2
CPT,2018-05-04,True,D7_CORE,2018,2
IT,2018-05-08,True,D7_CORE,2018,2
INTU,2018-05-22,True,D7_CORE,2018,2
CRM,2018-05-29,True,D7_CORE,2018,2
JNJ,2018-07-17,True,D7_CORE,2018,3
UAL,2018-07-18,True,D7_CORE,2018,3
SNA,2018-07-19,True,D7_CORE,2018,3
HUBB,2018-07-24,True,D7_CORE,2018,3
IEX,2018-07-25,True,D7_CORE,2018,3
APH,2018-07-25,True,D7_CORE,2018,3
NSC,2018-07-25,True,D7_CORE,2018,3
TT,2018-07-25,True,D7_CORE,2018,3
PSX,2018-07-27,True,D7_CORE,2018,3
UDR,2018-07-31,True,D7_CORE,2018,3
AME,2018-07-31,True,D7_CORE,2018,3
JCI,2018-07-31,True,D7_CORE,2018,3
ETN,2018-07-31,True,D7_CORE,2018,3
J,2018-08-06,True,D7_CORE,2018,3
ALB,2018-08-08,True,D7_CORE,2018,3
MDT,2018-08-21,True,D7_CORE,2018,3
SNPS,2018-08-22,True,D7_CORE,2018,3
PYPL,2018-10-18,True,D7_CORE,2018,4
AXP,2018-10-18,True,D7_CORE,2018,4
NSC,2018-10-24,True,D7_CORE,2018,4
EME,2018-10-25,True,D7_CORE,2018,4
ROP,2018-10-26,True,D7_CORE,2018,4
AKAM,2018-10-29,True,D7_CORE,2018,4
ON,2018-10-29,True,D7_CORE,2018,4
TMUS,2018-10-30,True,D7_CORE,2018,4
OKE,2018-10-31,True,D7_CORE,2018,4
GNRC,2018-11-01,True,D7_CORE,2018,4
EPAM,2018-11-01,True,D7_CORE,2018,4
DXCM,2018-11-07,True,D7_CORE,2018,4
WDAY,2018-11-29,True,D7_CORE,2018,4
DRI,2018-12-18,True,D7_CORE,2018,4
UNH,2019-01-15,True,D7_CORE,2019,1
HCA,2019-01-29,True,D7_CORE,2019,1
LHX,2019-01-29,True,D7_CORE,2019,1
META,2019-01-30,True,D7_CORE,2019,1
DECK,2019-01-31,True,D7_CORE,2019,1
UPS,2019-01-31,True,D7_CORE,2019,1
COP,2019-01-31,True,D7_CORE,2019,1
AZO,2019-02-26,True,D7_CORE,2019,1
CSGP,2019-02-26,True,D7_CORE,2019,1
LULU,2019-03-27,True,D7_CORE,2019,1
DHR,2019-04-18,True,D7_CORE,2019,2
EBAY,2019-04-23,True,D7_CORE,2019,2
NOW,2019-04-24,True,D7_CORE,2019,2
COF,2019-04-25,True,D7_CORE,2019,2
CTRA,2019-04-26,True,D7_CORE,2019,2
MA,2019-04-30,True,D7_CORE,2019,2
FIS,2019-04-30,True,D7_CORE,2019,2
JCI,2019-05-01,True,D7_CORE,2019,2
LHX,2019-05-01,True,D7_CORE,2019,2
STE,2019-05-14,True,D7_CORE,2019,2
JBL,2019-06-18,True,D7_CORE,2019,2
ADBE,2019-06-18,True,D7_CORE,2019,2
CMG,2019-07-23,True,D7_CORE,2019,3
LMT,2019-07-24,True,D7_CORE,2019,3
ESS,2019-07-25,True,D7_CORE,2019,3
IR,2019-07-30,True,D7_CORE,2019,3
LHX,2019-07-31,True,D7_CORE,2019,3
GRMN,2019-07-31,True,D7_CORE,2019,3
WMB,2019-08-01,True,D7_CORE,2019,3
NVDA,2019-08-16,True,D7_CORE,2019,3
MDT,2019-08-20,True,D7_CORE,2019,3
DG,2019-08-29,True,D7_CORE,2019,3
MKC,2019-10-01,True,D7_CORE,2019,4
ISRG,2019-10-17,True,D7_CORE,2019,4
PG,2019-10-22,True,D7_CORE,2019,4
MSFT,2019-10-23,True,D7_CORE,2019,4
FFIV,2019-10-23,True,D7_CORE,2019,4
PTC,2019-10-23,True,D7_CORE,2019,4
RTX,2019-10-24,True,D7_CORE,2019,4
BXP,2019-10-30,True,D7_CORE,2019,4
AAPL,2019-10-30,True,D7_CORE,2019,4
FTNT,2019-11-01,True,D7_CORE,2019,4
AXON,2019-11-07,True,D7_CORE,2019,4
AMAT,2019-11-14,True,D7_CORE,2019,4
