symbol,reaction_date,trade_long,trade_long_tier
TEL,2017-01-25,True,D7_CORE
AAPL,2017-01-31,True,D7_CORE
SNPS,2017-02-15,True,D7_CORE
LRCX,2017-04-19,True,D7_CORE
HON,2017-04-21,True,D7_CORE
TMUS,2017-04-24,True,D7_CORE
ITW,2017-04-24,True,D7_CORE
TRMB,2017-04-27,True,D7_CORE
ALGN,2017-04-27,True,D7_CORE
AME,2017-05-02,True,D7_CORE
HLT,2017-05-02,True,D7_CORE
MTD,2017-05-04,True,D7_CORE
CI,2017-05-05,True,D7_CORE
MAR,2017-05-09,True,D7_CORE
MCHP,2017-05-09,True,D7_CORE
NVDA,2017-05-09,True,D7_CORE
DE,2017-05-19,True,D7_CORE
NTAP,2017-05-24,True,D7_CORE
COO,2017-06-01,True,D7_CORE
WDAY,2017-06-01,True,D7_CORE
DRI,2017-06-27,True,D7_CORE
STZ,2017-06-29,True,D7_CORE
BA,2017-07-26,True,D7_CORE
APD,2017-08-01,True,D7_CORE
HUM,2017-08-02,True,D7_CORE
TDY,2017-08-03,True,D7_CORE
TSN,2017-08-07,True,D7_CORE
GDDY,2017-08-12,True,D7_CORE
AMAT,2017-08-17,True,D7_CORE
PANW,2017-08-31,True,D7_CORE
STZ,2017-10-05,True,D7_CORE
IBKR,2017-10-17,True,D7_CORE
TMUS,2017-10-22,True,D7_CORE
CAT,2017-10-24,True,D7_CORE
ODFL,2017-10-26,True,D7_CORE
INTC,2017-10-26,True,D7_CORE
HLT,2017-10-26,True,D7_CORE
WY,2017-10-27,True,D7_CORE
XYL,2017-10-31,True,D7_CORE
QCOM,2017-11-01,True,D7_CORE
ZTS,2017-11-02,True,D7_CORE
AME,2017-11-02,True,D7_CORE
MSCI,2017-11-02,True,D7_CORE
PH,2017-11-02,True,D7_CORE
PODD,2017-11-02,True,D7_CORE
A,2017-11-20,True,D7_CORE
DG,2017-12-07,True,D7_CORE
CCL,2017-12-19,True,D7_CORE
ACN,2017-12-21,True,D7_CORE
