symbol,date,epsActual,epsEstimated,lastUpdated
CODI,2025-12-31,-0.27139,0.61,2025-12-31
VROY.V,2025-12-30,-0.07342,-0.02992,2025-12-31
ANL,2025-12-29,-0.18,-0.18,2025-12-31
CODI-PA,2025-12-29,-0.27139,0.57,2025-12-31
CODI-PB,2025-12-29,-0.27139,0.57,2025-12-31
CODI-PC,2025-12-29,-0.68075,0.57,2025-12-30
MODVQ,2025-12-29,-21.16,-0.53876,2025-12-30
2685.T,2025-12-29,77.44,123.74,2025-12-31
3086.T,2025-12-26,25.56,21.85,2025-12-31
JFROF,2025-12-26,0.00105,0.1397,2025-12-30
3549.T,2025-12-25,47.52,36.12,2025-12-31
NBP,2025-12-25,-0.0095,-0.06,2025-12-31
SMEGF,2025-12-24,0.3227,0.4806,2025-12-28
GBF.DE,2025-12-24,1.48,1.39,2025-12-28
BFLBY,2025-12-24,0.3445,0.3244,2025-12-25
DRUG,2025-12-23,-0.54323,-1.205,2025-12-25
BNED,2025-12-23,-2.23,-0.81,2025-12-29
DRUG.CN,2025-12-23,-0.57,-1.12,2025-12-30
CTOR,2025-12-23,-0.06,-0.06,2025-12-30
4716.T,2025-12-23,234.54,125.45,2025-12-31
GL9.IR,2025-12-23,0.535,0.4824,2025-12-28
GLOO,2025-12-23,-6.08,-0.4,2025-12-25
DRUG,2025-12-23,-0.41,-0.7,2025-12-28
OCLCF,2025-12-23,1.5,0.802,2025-12-23
ENGNW,2025-12-22,2.71,-0.5669,2025-12-28
8227.T,2025-12-22,167.31,176.69,2025-12-31
SHAOF,2025-12-22,0.00686,1.13,2025-12-30
ENGN,2025-12-22,-0.73,-0.55,2025-12-29
EBF,2025-12-22,0.42,0.38,2025-12-31
SMWH.L,2025-12-19,0.4647,0.464,2025-12-31
CUK,2025-12-19,0.34,0.2475,2025-12-30
WGO,2025-12-19,0.38,0.1325,2025-12-29
FDMIF,2025-12-19,-0.00727,-0.00727,2025-12-24
PETS,2025-12-19,-0.34,-0.02,2025-12-28
SPWR,2025-12-19,-0.19,-0.12,2025-12-31
POH1.DE,2025-12-19,0.2216,0.2113,2025-12-30
OTLK,2025-12-19,-0.22,-0.23,2025-12-31
CAG,2025-12-19,0.45,0.436,2025-12-31
SEOVF,2025-12-19,-0.01,-0.00713,2025-12-28
SVA.TO,2025-12-19,-0.0066,-0.01,2025-12-31
CUKPF,2025-12-19,0.2982,0.245,2025-12-31
USBC,2025-12-19,-1.6,-2.4,2025-12-29
PAYX,2025-12-19,1.26,1.23,2025-12-31
FDR.V,2025-12-19,-0.01002,-0.01,2025-12-22
YCBD,2025-12-19,2.78,-0.07,2025-12-28
0EV1.L,2025-12-19,0.3008,0.2481,2025-12-31
0KGE.L,2025-12-19,1.1,1.23,2025-12-31
FRSX,2025-12-19,-2.1,-1.11,2025-12-31
0I2P.L,2025-12-19,-1.38539,0.436,2025-12-31
PCX.DE,2025-12-19,0.815,1.06,2025-12-31
CCL,2025-12-19,0.34,0.2481,2025-12-31
CCL.L,2025-12-19,0.1703,0.1849,2025-12-31
WHTPF,2025-12-19,-1.61251,0.621,2025-12-31
LW,2025-12-19,0.69,0.644,2025-12-30
DSITF,2025-12-18,0.02424,0.01052,2025-12-31
KEP,2025-12-18,2.11,2.08,2025-12-31
FDX,2025-12-18,4.82,4.12,2025-12-31
SKIS-B.ST,2025-12-18,-4.88323,-5.00045,2025-12-30
LPL,2025-12-18,-0.26,0.07,2025-12-31
CURY.L,2025-12-18,0.01572,0.00786,2025-12-31
0I77.L,2025-12-18,2.03,2.1,2025-12-31
NFE,2025-12-18,0.05,-0.89,2025-12-31
FCELB,2025-12-18,6.45,-1.06641,2025-12-30
HEI-A,2025-12-18,1.33,1.21,2025-12-30
0R0P.L,2025-12-18,0.04478,0.05093,2025-12-31
AXIA,2025-12-18,0.6,0.08783,2025-12-31
DRI,2025-12-18,2.08,2.1,2025-12-31
BIRK,2025-12-18,0.6,0.4234,2025-12-25
ISOU,2025-12-18,0.00379,-0.06,2025-12-31
FJTSY,2025-12-18,0.00229,0.244,2025-12-30
0Y0Y.L,2025-12-18,3.53,3.74,2025-12-30
CIT.DE,2025-12-18,0.906,1.03,2025-12-31
HEI,2025-12-18,1.33,1.22,2025-12-31
0J46.L,2025-12-18,1.33,1.22,2025-12-31
FDS,2025-12-18,4.51,4.36,2025-12-31
AVO,2025-12-18,0.31,0.23,2025-12-31
SGLLV.AX,2025-12-18,0.527,0.4945,2025-12-30
NNE,2025-12-18,-0.19,-0.30687,2025-12-29
CODI,2025-12-18,-0.31,0.56,2025-12-31
JAPAY,2025-12-18,0.00244,0.3125,2025-12-30
0A60.L,2025-12-18,-0.82601,-1.06641,2025-12-31
BIOVIC-B.ST,2025-12-18,-0.05177,-0.08137,2025-12-29
BB,2025-12-18,0.05,0.04,2025-12-31
ISSC,2025-12-18,0.34,0.12,2025-12-31
CODI-PB,2025-12-18,-0.35955,0.54,2025-12-31
SCHL,2025-12-18,2.57,2.07,2025-12-30
FDX.DE,2025-12-18,3.01,3.55,2025-12-31
NKE.NE,2025-12-18,1.04,0.524,2025-12-30
DMGI.V,2025-12-18,-0.01676,-0.02037,2025-12-31
NKE,2025-12-18,0.53,0.3747,2025-12-31
CMBM,2025-12-18,-0.21,0.09,2025-12-31
BLIN,2025-12-18,-0.03,-0.06,2025-12-29
0HTQ.L,2025-12-18,0.4265,0.3064,2025-12-31
KBH,2025-12-18,1.92,1.79,2025-12-30
0HYJ.L,2025-12-18,1.22,1.2,2025-12-31
CIO,2025-12-18,0.27,0.28,2025-12-28
0QZX.L,2025-12-18,4.05,4.12,2025-12-31
6AX.F,2025-12-18,-0.00627,-0.01246,2025-12-31
KMX,2025-12-18,0.51,0.3064,2025-12-31
ACN,2025-12-18,3.94,3.74,2025-12-30
DOU.DE,2025-12-18,0.1309,0.1363,2025-12-31
DMGGF,2025-12-18,-0.00863,-0.01462,2025-12-31
DOU.F,2025-12-18,0.1501,0.1364,2025-12-30
NKE.DE,2025-12-18,0.3975,0.3231,2025-12-31
CODI-PA,2025-12-18,-0.35955,0.54,2025-12-31
BB.TO,2025-12-18,0.06794,0.05021,2025-12-31
CTAS,2025-12-18,1.21,1.2,2025-12-30
FCEL,2025-12-18,-0.83,-0.97,2025-12-29
GRM.DE,2025-12-17,0.571,0.885,2025-12-30
TRZBF,2025-12-17,-0.22116,0.08989,2025-12-31
3451.T,2025-12-17,3875.49,3705.0,2025-12-29
JBL,2025-12-17,2.85,2.7,2025-12-30
EPAC,2025-12-17,0.36,0.37,2025-12-31
ABM,2025-12-17,0.88,1.09,2025-12-31
WJG.L,2025-12-17,,0.015,2025-12-28
JOB,2025-12-17,-0.01,0.03,2025-12-31
TRZ.TO,2025-12-17,-0.31,-1.09,2025-12-31
IHP.L,2025-12-17,0.09241,0.09241,2025-12-30
PCO.WA,2025-12-17,1.09,0.547,2025-12-31
NRSN,2025-12-17,-0.11,-0.0437,2025-12-28
WS,2025-12-17,0.38,0.39,2025-12-30
SPIR,2025-12-17,-0.33,-0.33,2025-12-28
BYDDY,2025-12-17,0.00842,0.1977,2025-12-31
VERU,2025-12-17,-0.6,-0.39,2025-12-31
ATHR,2025-12-17,-0.13,-0.09,2025-12-31
ARBK,2025-12-17,-21.74,-21.74,2025-12-31
MDKA.JK,2025-12-17,-8.03392,-8.03392,2025-12-31
8956.T,2025-12-17,2645.09,2650.0,2025-12-30
NCH2.DE,2025-12-17,0.01,0.05,2025-12-24
SCS,2025-12-17,0.3,0.26,2025-12-30
MU,2025-12-17,4.78,3.96,2025-12-30
JBS,2025-12-17,0.52,0.507,2025-12-29
0R1X.L,2025-12-17,0.769,1.03,2025-12-31
8972.T,2025-12-17,4203.11,4085.0,2025-12-31
MTE.DE,2025-12-17,3.42,3.42,2025-12-29
GIS,2025-12-17,1.1,1.03,2025-12-31
MLKN,2025-12-17,0.43,0.4067,2025-12-31
SPKKY,2025-12-17,0.3689,0.2691,2025-12-31
LEN-B,2025-12-16,1.94,2.2,2025-12-30
BMED.MI,2025-12-16,0.3328,0.3328,2025-12-29
NMTC,2025-12-16,-0.04,-0.0362,2025-12-31
LEN,2025-12-16,2.03,2.21,2025-12-31
DLTH,2025-12-16,-0.23,-0.56,2025-12-16
0JU0.L,2025-12-16,1.94,2.21,2025-12-29
PLCE,2025-12-16,-0.18,-0.85881,2025-12-30
BNMDF,2025-12-16,0.3903,0.3903,2025-12-29
